<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khouz..Steel,20210719,15100.00,15350.00,15000.00,15260.00,262821388820,17228220,2158,D,14970.00,15310.00
Khouz..Steel,20210718,15400.00,15400.00,14660.00,14970.00,251700337300,16815198,2361,D,15290.00,14990.00
Khouz..Steel,20210717,15440.00,15600.00,15100.00,15290.00,213881262790,13991496,2884,D,15480.00,15260.00
Khouz..Steel,20210714,15270.00,15700.00,15180.00,15480.00,185913549610,12009940,2380,D,15540.00,15510.00
Khouz..Steel,20210713,15700.00,15850.00,15250.00,15540.00,309599789170,19929079,2683,D,15740.00,15450.00
Khouz..Steel,20210712,15470.00,15970.00,15470.00,15740.00,179258478600,11388536,2458,D,15500.00,15740.00
Khouz..Steel,20210711,15230.00,15870.00,15180.00,15500.00,289513781070,18678905,3086,D,15340.00,15550.00
Khouz..Steel,20210710,15500.00,15540.00,15000.00,15340.00,141058357190,9196973,2051,D,15540.00,15380.00
Khouz..Steel,20210707,15600.00,15970.00,15360.00,15540.00,490832759640,31592318,4850,D,16160.00,15600.00
Khouz..Steel,20210706,15800.00,16650.00,15790.00,16160.00,448839872250,27770811,4032,D,15870.00,16010.00
Khouz..Steel,20210705,15890.00,16170.00,15600.00,15870.00,154533548190,9738945,1662,D,15790.00,15970.00
Khouz..Steel,20210628,16330.00,16770.00,16330.00,16590.00,391136423450,23582424,4065,D,16610.00,16580.00
Khouz..Steel,20210627,16500.00,16980.00,16360.00,16610.00,314189842790,18911118,3162,D,16640.00,16600.00
Khouz..Steel,20210626,16660.00,16840.00,16300.00,16640.00,494641148070,29727008,5062,D,16040.00,16500.00
Khouz..Steel,20210623,15420.00,16130.00,15420.00,16040.00,430652567160,26853010,3057,D,15370.00,16130.00
Khouz..Steel,20210622,15100.00,15750.00,15100.00,15370.00,302603744410,19690660,2349,D,15270.00,15480.00
Khouz..Steel,20210621,15020.00,15370.00,15020.00,15270.00,299135278630,19586834,1572,D,15290.00,15290.00
Khouz..Steel,20210620,15200.00,15590.00,15100.00,15290.00,106538140480,6970660,1442,D,15300.00,15110.00
Khouz..Steel,20210619,15160.00,15550.00,14980.00,15300.00,184556446860,12062951,1821,D,15030.00,15500.00
Khouz..Steel,20210616,14710.00,15190.00,14710.00,15030.00,56939674480,3807219,994,D,15100.00,14970.00
Khouz..Steel,20210615,15340.00,15340.00,14950.00,15100.00,118015660440,7816578,1267,D,15060.00,14960.00
Khouz..Steel,20210614,14630.00,15180.00,14630.00,15060.00,144265775970,9576373,1638,D,14850.00,15150.00
Khouz..Steel,20210613,14800.00,15060.00,14610.00,14850.00,61902149470,4181236,1112,D,14910.00,14870.00
Khouz..Steel,20210612,14670.00,15200.00,14640.00,14910.00,199117855560,13357854,1624,D,15100.00,14950.00
Khouz..Steel,20210609,15000.00,15350.00,14950.00,15100.00,131659348160,8717192,1380,D,15220.00,15150.00
Khouz..Steel,20210608,15500.00,15590.00,14880.00,15220.00,209528131560,13767789,2394,D,15440.00,15340.00
Khouz..Steel,20210607,15100.00,15700.00,15100.00,15440.00,304249181920,19708758,2644,D,15530.00,15340.00
Khouz..Steel,20210602,15200.00,15730.00,15200.00,15530.00,253609523060,16328960,2599,D,15620.00,15400.00
Khouz..Steel,20210601,15300.00,15850.00,15300.00,15620.00,105091463900,6724742,1537,D,15590.00,15480.00
Khouz..Steel,20210531,15050.00,15830.00,15050.00,15590.00,212137577210,13604071,2385,D,15700.00,15500.00
Khouz..Steel,20210530,15680.00,16140.00,15210.00,15700.00,399640015180,25455068,3915,D,15500.00,15510.00
Khouz..Steel,20210529,14890.00,15560.00,14890.00,15500.00,454340530590,29321387,3305,D,14820.00,15560.00
Khouz..Steel,20210526,14270.00,15040.00,14270.00,14820.00,149324415220,10078336,2693,D,14470.00,14850.00
Khouz..Steel,20210525,13960.00,14690.00,13960.00,14470.00,117426689800,8116985,2046,D,14100.00,14590.00
Khouz..Steel,20210524,13820.00,14410.00,13820.00,14100.00,116598099800,8268791,1602,D,13990.00,14060.00
Khouz..Steel,20210523,14000.00,14250.00,13740.00,13990.00,159700084900,11412917,1797,D,14090.00,14190.00
Khouz..Steel,20210522,14250.00,14630.00,14060.00,14090.00,310630486720,22048021,2032,D,14800.00,14200.00
Khouz..Steel,20210519,15120.00,15350.00,14600.00,14800.00,171924352740,11617468,1418,D,15120.00,14640.00
Khouz..Steel,20210518,15000.00,15370.00,14950.00,15120.00,180236103060,11917427,1852,D,15050.00,14980.00
Khouz..Steel,20210517,15150.00,15300.00,14800.00,15050.00,156072769830,10368758,1810,D,15320.00,15200.00
Khouz..Steel,20210516,14730.00,15600.00,14730.00,15320.00,272952140560,17818044,2922,D,15140.00,15300.00
Khouz..Steel,20210515,14350.00,15400.00,14350.00,15140.00,274079129970,18105159,2879,D,14920.00,15160.00
Khouz..Steel,20210512,15190.00,15350.00,14610.00,14920.00,277952968180,18625582,2535,D,15020.00,14750.00
Khouz..Steel,20210511,14520.00,15250.00,14520.00,15020.00,255137249680,16985033,2555,D,14450.00,15200.00
Khouz..Steel,20210510,13770.00,14860.00,13770.00,14450.00,236768721330,16384345,2100,D,14090.00,14760.00
Khouz..Steel,20210509,14110.00,14330.00,14070.00,14090.00,170498351870,12104818,1389,D,14500.00,14070.00
Khouz..Steel,20210508,14500.00,14960.00,14180.00,14500.00,130724284340,9016515,1554,D,14520.00,14330.00
Khouz..Steel,20210505,14180.00,14750.00,14180.00,14520.00,122887070320,8462175,1662,D,14180.00,14500.00
Khouz..Steel,20210503,14060.00,14380.00,14050.00,14180.00,129525171020,9132275,1580,D,14470.00,14290.00
Khouz..Steel,20210502,14470.00,14790.00,14470.00,14470.00,158873505300,10977963,1150,D,14910.00,14470.00
Khouz..Steel,20210501,15160.00,15360.00,14880.00,14910.00,292108746050,19584937,1955,D,15330.00,14890.00
Khouz..Steel,20210428,15240.00,15760.00,15100.00,15330.00,213594338800,13936323,2642,D,15240.00,15320.00
