<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*I..N..C..Ind.,20210718,12600.00,12880.00,12530.00,12650.00,1114772508790,88106162,14485,D,12750.00,12630.00
S*I..N..C..Ind.,20210717,12800.00,12960.00,12550.00,12750.00,874010642260,68542961,14327,D,12670.00,12640.00
S*I..N..C..Ind.,20210714,12540.00,12830.00,12450.00,12670.00,890742692630,70277940,13408,D,12770.00,12690.00
S*I..N..C..Ind.,20210713,12840.00,13010.00,12640.00,12770.00,852979133960,66812306,15268,D,13020.00,12680.00
S*I..N..C..Ind.,20210712,13110.00,13340.00,12840.00,13020.00,1383102268310,106208763,18918,D,12880.00,12860.00
S*I..N..C..Ind.,20210711,12600.00,13120.00,12600.00,12880.00,1207112113900,93706526,17982,D,12660.00,12990.00
S*I..N..C..Ind.,20210710,12900.00,12900.00,12550.00,12660.00,847612435480,66952754,13965,D,12870.00,12670.00
S*I..N..C..Ind.,20210707,12800.00,13140.00,12660.00,12870.00,1984011430150,154200135,26270,D,12760.00,12830.00
S*I..N..C..Ind.,20210706,12340.00,12820.00,12300.00,12760.00,3071737420070,240679618,29963,D,12210.00,12820.00
S*I..N..C..Ind.,20210705,12140.00,12340.00,12100.00,12210.00,701852286450,57477120,10904,D,12050.00,12250.00
S*I..N..C..Ind.,20210704,11770.00,12190.00,11770.00,12050.00,723961340370,60085175,10504,D,12040.00,12060.00
S*I..N..C..Ind.,20210703,12360.00,12380.00,11800.00,12040.00,1066283128030,88571671,14905,D,12240.00,11860.00
S*I..N..C..Ind.,20210630,12250.00,12370.00,12180.00,12240.00,758028561610,61924440,11639,D,12240.00,12250.00
S*I..N..C..Ind.,20210629,12110.00,12410.00,12110.00,12240.00,988626346660,80738158,13153,D,12140.00,12240.00
S*I..N..C..Ind.,20210628,12210.00,12290.00,11990.00,12140.00,843417628060,69479692,12556,D,12220.00,12180.00
S*I..N..C..Ind.,20210627,12260.00,12440.00,12040.00,12220.00,1148372777010,93937722,18830,D,12420.00,12130.00
S*I..N..C..Ind.,20210626,12550.00,12600.00,12120.00,12420.00,1934122998780,155751582,25260,D,12310.00,12160.00
