<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khalij.Fars,20210811,13560.00,14110.00,13500.00,13990.00,1562099305760,111678413,8393,D,13440.00,14110.00
Khalij.Fars,20210810,13600.00,13600.00,13190.00,13440.00,556852686540,41440412,5647,D,13300.00,13470.00
Khalij.Fars,20210809,13050.00,13690.00,12880.00,13300.00,746171878380,56110278,7276,D,13140.00,13360.00
Khalij.Fars,20210808,12790.00,13380.00,12600.00,13140.00,1335761019300,101646383,11072,D,12750.00,13200.00
Khalij.Fars,20210807,12790.00,12790.00,12500.00,12750.00,3425580539120,268665288,16943,D,12190.00,12690.00
Khalij.Fars,20210804,12190.00,12190.00,12010.00,12190.00,835124008810,68517819,2743,D,11610.00,12190.00
Khalij.Fars,20210803,11270.00,11640.00,11200.00,11610.00,914185086840,78773641,5300,D,11090.00,11640.00
Khalij.Fars,20210802,11100.00,11310.00,11000.00,11090.00,474135996290,42742611,3599,D,11050.00,11200.00
Khalij.Fars,20210801,11190.00,11230.00,10830.00,11050.00,562733822200,50940951,4741,D,10820.00,10960.00
Khalij.Fars,20210731,10550.00,10930.00,10340.00,10820.00,1387383266430,128218718,6834,D,10410.00,10930.00
Khalij.Fars,20210728,10540.00,10540.00,10290.00,10410.00,292568950920,28103970,2803,D,10540.00,10340.00
Khalij.Fars,20210727,10710.00,10760.00,10300.00,10540.00,374720011610,35550599,2828,D,10610.00,10390.00
Khalij.Fars,20210726,10720.00,10750.00,10490.00,10610.00,393034580320,37027586,3238,D,10610.00,10600.00
Khalij.Fars,20210719,10510.00,10780.00,10490.00,10610.00,484247586170,45652331,3197,D,10500.00,10560.00
Khalij.Fars,20210718,10600.00,10630.00,10270.00,10500.00,482674570140,45951071,2651,D,10600.00,10610.00
Khalij.Fars,20210717,10900.00,10900.00,10350.00,10600.00,363963446070,34338761,3268,D,10580.00,10520.00
Khalij.Fars,20210714,10670.00,10790.00,10440.00,10580.00,247015188820,23358318,2774,D,10710.00,10490.00
Khalij.Fars,20210713,10800.00,10870.00,10500.00,10710.00,256070988680,23906163,2496,D,10750.00,10680.00
Khalij.Fars,20210712,10850.00,10890.00,10600.00,10750.00,423704024000,39424712,2922,D,10620.00,10610.00
Khalij.Fars,20210711,10640.00,10740.00,10450.00,10620.00,212742993430,20032849,2588,D,10570.00,10680.00
Khalij.Fars,20210710,10760.00,10770.00,10420.00,10570.00,197644562740,18699206,2674,D,10860.00,10470.00
Khalij.Fars,20210707,11050.00,11050.00,10550.00,10860.00,577564330830,53193292,4799,D,10680.00,10700.00
Khalij.Fars,20210706,10380.00,10730.00,10340.00,10680.00,859759421620,80526227,3727,D,10220.00,10730.00
Khalij.Fars,20210705,10460.00,10470.00,10170.00,10220.00,889502380270,86997876,3421,D,10180.00,10240.00
Khalij.Fars,20210704,10200.00,10320.00,10000.00,10180.00,286269294870,28111456,2401,D,10170.00,10240.00
Khalij.Fars,20210703,10220.00,10290.00,9960.00,10170.00,333438148290,32801733,3135,D,10190.00,10190.00
Khalij.Fars,20210630,10000.00,10370.00,9990.00,10190.00,459095944710,45064446,3400,D,10120.00,10300.00
Khalij.Fars,20210629,10330.00,10330.00,9970.00,10120.00,277734689540,27442174,3453,D,10210.00,10000.00
Khalij.Fars,20210628,10400.00,10400.00,10100.00,10210.00,263532011980,25823251,2361,D,10290.00,10190.00
Khalij.Fars,20210627,10390.00,10390.00,10110.00,10290.00,267145288130,25970343,2711,D,10340.00,10200.00
