<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Mobarakeh.Steel,20210718,10490.00,10630.00,10390.00,10490.00,1010096717920,96260142,12234,D,10660.00,10580.00
S*Mobarakeh.Steel,20210717,10730.00,10790.00,10510.00,10660.00,826922788750,77603918,10842,D,10670.00,10640.00
S*Mobarakeh.Steel,20210714,10510.00,10770.00,10510.00,10670.00,895027074850,83900309,12026,D,10830.00,10720.00
S*Mobarakeh.Steel,20210713,10720.00,11050.00,10660.00,10830.00,1168130199640,107829635,15788,D,10850.00,10700.00
S*Mobarakeh.Steel,20210712,10660.00,11060.00,10610.00,10850.00,1695540395300,156216780,19250,D,10540.00,10740.00
S*Mobarakeh.Steel,20210711,10400.00,10690.00,10350.00,10540.00,1039841681900,98697009,14398,D,10260.00,10590.00
S*Mobarakeh.Steel,20210710,10260.00,10430.00,10200.00,10260.00,904850387860,88156494,11959,D,10460.00,10330.00
S*Mobarakeh.Steel,20210707,10490.00,10720.00,10330.00,10460.00,1216297653510,116233464,17032,D,10690.00,10420.00
S*Mobarakeh.Steel,20210706,10400.00,10770.00,10380.00,10690.00,2343965963550,219330222,23503,D,10260.00,10760.00
S*Mobarakeh.Steel,20210705,10130.00,10430.00,10130.00,10260.00,1176114786030,114635355,15407,D,10270.00,10380.00
S*Mobarakeh.Steel,20210704,10050.00,10470.00,10010.00,10270.00,572845246960,55760104,9048,D,10250.00,10230.00
S*Mobarakeh.Steel,20210703,10630.00,10630.00,10100.00,10250.00,1168765515660,114014851,16321,D,10630.00,10100.00
S*Mobarakeh.Steel,20210630,10580.00,10730.00,10520.00,10630.00,506046838270,47625377,8536,D,10670.00,10600.00
S*Mobarakeh.Steel,20210629,10510.00,10820.00,10510.00,10670.00,629647739420,59021339,8894,D,10610.00,10620.00
S*Mobarakeh.Steel,20210628,10550.00,10690.00,10410.00,10610.00,730766947230,68898363,10074,D,10650.00,10630.00
S*Mobarakeh.Steel,20210627,10650.00,10820.00,10520.00,10650.00,808570658720,75911169,12782,D,10800.00,10610.00
