<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Sabet.Khorasan,20210612,56150.00,56150.00,56150.00,58120.00,4755231200,84688,126,D,59100.00,56150.00
S*Sabet.Khorasan,20210609,56210.00,56210.00,56210.00,59100.00,309660890,5509,15,D,59160.00,56210.00
S*Sabet.Khorasan,20210608,56430.00,56430.00,56430.00,59160.00,1084753890,19223,32,D,59390.00,56430.00
S*Sabet.Khorasan,20210607,56550.00,56550.00,56550.00,59390.00,632851050,11191,28,D,59520.00,56550.00
S*Sabet.Khorasan,20210602,56650.00,56650.00,56650.00,59520.00,542367100,9574,23,D,59630.00,56650.00
S*Sabet.Khorasan,20210601,56660.00,56660.00,56660.00,59630.00,41985060,741,7,D,59640.00,56660.00
S*Sabet.Khorasan,20210531,56780.00,56780.00,56780.00,59640.00,584039080,10286,11,D,59760.00,56780.00
S*Sabet.Khorasan,20210526,57240.00,57240.00,57240.00,59760.00,2329381800,40695,109,D,60250.00,57240.00
S*Sabet.Khorasan,20210525,57290.00,57290.00,57290.00,60250.00,242279410,4229,19,D,60300.00,57290.00
S*Sabet.Khorasan,20210524,57310.00,57310.00,57310.00,60300.00,106997770,1867,6,D,60320.00,57310.00
S*Sabet.Khorasan,20210523,57410.00,57410.00,57410.00,60320.00,510776770,8897,18,D,60430.00,57410.00
S*Sabet.Khorasan,20210522,57430.00,57430.00,57430.00,60430.00,82584340,1438,9,D,60450.00,57430.00
S*Sabet.Khorasan,20210519,57490.00,57490.00,57490.00,60450.00,236456370,4113,26,D,60510.00,57490.00
S*Sabet.Khorasan,20210518,57590.00,57590.00,57590.00,60510.00,462044570,8023,18,D,60620.00,57590.00
S*Sabet.Khorasan,20210517,57680.00,57680.00,57680.00,60620.00,387667280,6721,7,D,60710.00,57680.00
S*Sabet.Khorasan,20210516,57760.00,57760.00,57760.00,60710.00,326575040,5654,25,D,60790.00,57760.00
S*Sabet.Khorasan,20210515,60790.00,60790.00,60790.00,60790.00,13797992620,226978,144,D,67540.00,60790.00
S*Sabet.Khorasan,20210512,65520.00,65520.00,65520.00,67540.00,63554400,970,5,D,67540.00,65520.00
S*Sabet.Khorasan,20210511,65550.00,65550.00,65550.00,67540.00,732849000,11180,11,D,67570.00,65550.00
S*Sabet.Khorasan,20210510,65560.00,65560.00,65560.00,67570.00,203432680,3103,8,D,67580.00,65560.00
S*Sabet.Khorasan,20210509,65610.00,65610.00,65610.00,67580.00,1110318030,16923,9,D,67630.00,65610.00
S*Sabet.Khorasan,20210508,65620.00,65620.00,65620.00,67630.00,245615660,3743,9,D,67640.00,65620.00
S*Sabet.Khorasan,20210505,65630.00,65630.00,65630.00,67640.00,344294980,5246,24,D,67650.00,65630.00
S*Sabet.Khorasan,20210503,65640.00,65640.00,65640.00,67650.00,133249200,2030,3,D,67660.00,65640.00
S*Sabet.Khorasan,20210501,65640.00,65640.00,65640.00,67660.00,16803840,256,2,D,67660.00,65640.00
S*Sabet.Khorasan,20210428,65640.00,65640.00,65640.00,67660.00,308836200,4705,6,D,67670.00,65640.00
S*Sabet.Khorasan,20210427,65640.00,65640.00,65640.00,67670.00,46144920,703,4,D,67670.00,65640.00
S*Sabet.Khorasan,20210426,65640.00,65640.00,65640.00,67670.00,6564000,100,1,D,67670.00,65640.00
S*Sabet.Khorasan,20210425,63650.00,63650.00,63650.00,67670.00,501180100,7874,39,D,67710.00,63650.00
S*Sabet.Khorasan,20210424,65680.00,65680.00,65680.00,67710.00,65680000,1000,5,D,67710.00,65680.00
S*Sabet.Khorasan,20210421,65700.00,65700.00,65700.00,67710.00,519227100,7903,8,D,67730.00,65700.00
S*Sabet.Khorasan,20210420,66570.00,66570.00,66570.00,67730.00,6967282770,104661,14,D,67920.00,66570.00
S*Sabet.Khorasan,20210419,66570.00,66570.00,66570.00,67920.00,53855130,809,5,D,67920.00,66570.00
S*Sabet.Khorasan,20210418,66570.00,66570.00,66570.00,67920.00,45800160,688,4,D,67920.00,66570.00
S*Sabet.Khorasan,20210417,66570.00,66570.00,66570.00,67920.00,134205120,2016,12,D,67920.00,66570.00
S*Sabet.Khorasan,20210414,66580.00,66580.00,66580.00,67920.00,238223240,3578,10,D,67930.00,66580.00
S*Sabet.Khorasan,20210413,66710.00,66710.00,66710.00,67930.00,4865026880,72928,31,D,68070.00,66710.00
S*Sabet.Khorasan,20210412,66710.00,66710.00,66710.00,68070.00,108337040,1624,10,D,68070.00,66710.00
S*Sabet.Khorasan,20210411,66710.00,66710.00,66710.00,68070.00,56636790,849,6,D,68070.00,66710.00
S*Sabet.Khorasan,20210410,65750.00,65750.00,65750.00,68070.00,7288256000,110848,52,D,68480.00,65750.00
S*Sabet.Khorasan,20210407,67120.00,67120.00,67120.00,68480.00,71751280,1069,8,D,68480.00,67120.00
S*Sabet.Khorasan,20210406,67130.00,67130.00,67130.00,68480.00,202933990,3023,14,D,68490.00,67130.00
S*Sabet.Khorasan,20210405,67190.00,67190.00,67190.00,68490.00,2426365280,36112,20,D,68560.00,67190.00
S*Sabet.Khorasan,20210404,67190.00,67190.00,67190.00,68560.00,135589420,2018,8,D,68560.00,67190.00
