<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Chadormalu,20210811,29640.00,30590.00,29620.00,30030.00,310114589570,10325452,2815,D,29910.00,29990.00
Chadormalu,20210810,29620.00,30260.00,29370.00,29910.00,243187259720,8129282,2067,D,29370.00,30000.00
Chadormalu,20210809,29680.00,29810.00,29200.00,29370.00,240772179100,8199033,3191,D,29740.00,29560.00
Chadormalu,20210808,29600.00,30020.00,29310.00,29740.00,152421207390,5125720,2505,D,29980.00,29540.00
Chadormalu,20210807,30850.00,30860.00,29720.00,29980.00,305561360710,10190724,3279,D,30240.00,30010.00
Chadormalu,20210804,29400.00,30510.00,28790.00,30240.00,430772168700,14244330,3988,D,29060.00,30510.00
Chadormalu,20210803,28750.00,29570.00,28310.00,29060.00,209592435560,7211594,2498,D,28310.00,29570.00
Chadormalu,20210802,28300.00,28790.00,28040.00,28310.00,154484347400,5457435,2406,D,28610.00,28750.00
Chadormalu,20210801,28190.00,29110.00,28190.00,28610.00,266402259910,9309882,3753,D,28640.00,28330.00
Chadormalu,20210731,28220.00,29050.00,27830.00,28640.00,318493078150,11120866,3506,D,27670.00,29050.00
Chadormalu,20210728,27900.00,28070.00,26700.00,27670.00,292837484230,10582609,3398,D,27730.00,28050.00
Chadormalu,20210727,26940.00,27900.00,26940.00,27730.00,864909503790,31185690,6412,D,26580.00,27400.00
Chadormalu,20210726,25740.00,26690.00,25580.00,26580.00,504795054030,18990057,4555,D,25420.00,26600.00
Chadormalu,20210719,25130.00,25600.00,25000.00,25420.00,104634370580,4105328,1390,D,24940.00,25540.00
Chadormalu,20210718,25130.00,25170.00,24700.00,24940.00,69710072400,2801896,1203,D,25030.00,25140.00
Chadormalu,20210717,25850.00,25850.00,24670.00,25030.00,173993409360,6952032,2428,D,25430.00,25380.00
Chadormalu,20210714,25550.00,25850.00,25200.00,25430.00,88328983320,3468953,1447,D,25350.00,25440.00
Chadormalu,20210713,24750.00,25780.00,24530.00,25350.00,194398624150,7668161,2504,D,24900.00,25530.00
Chadormalu,20210712,24850.00,25230.00,24690.00,24900.00,214575831810,8618949,2070,D,24810.00,24750.00
Chadormalu,20210711,24970.00,25000.00,24540.00,24810.00,104385195860,4208465,1934,D,24870.00,25000.00
Chadormalu,20210710,25300.00,25300.00,24700.00,24870.00,165897934770,6669422,1838,D,25270.00,24970.00
Chadormalu,20210707,25350.00,25900.00,24580.00,25270.00,99907658940,3947501,1755,D,25030.00,25400.00
Chadormalu,20210706,24750.00,25400.00,24460.00,25030.00,132839798320,5307903,2170,D,24390.00,25340.00
Chadormalu,20210705,24620.00,24780.00,24100.00,24390.00,127083954050,5211203,1207,D,24040.00,24640.00
Chadormalu,20210629,26280.00,26660.00,25980.00,26170.00,397194882950,15178098,3981,D,25980.00,26230.00
Chadormalu,20210628,25500.00,26300.00,25100.00,25980.00,292524949920,11261737,3640,D,25090.00,26100.00
Chadormalu,20210627,24930.00,25500.00,24910.00,25090.00,123998604410,4941980,1725,D,24910.00,25000.00
Chadormalu,20210626,25000.00,25500.00,24610.00,24910.00,238152725990,9561470,2984,D,24470.00,24720.00
Chadormalu,20210623,23650.00,24760.00,23650.00,24470.00,211023414800,8622792,2363,D,23590.00,24650.00
Chadormalu,20210622,23700.00,23860.00,23350.00,23590.00,103850190560,4403317,1528,D,23600.00,23860.00
Chadormalu,20210621,23690.00,23900.00,23500.00,23600.00,68795471640,2905130,1175,D,23500.00,23850.00
Chadormalu,20210620,23470.00,23700.00,23200.00,23500.00,119754806380,5094694,1193,D,23280.00,23620.00
Chadormalu,20210619,23190.00,23520.00,22810.00,23280.00,82583255620,3542988,924,D,23220.00,23400.00
Chadormalu,20210616,23360.00,23370.00,22880.00,23220.00,58492383170,2522778,985,D,23260.00,23130.00
Chadormalu,20210615,23680.00,23680.00,23000.00,23260.00,71844197780,3084983,966,D,23210.00,23180.00
Chadormalu,20210614,22900.00,23380.00,22890.00,23210.00,120381266400,5183166,1378,D,22710.00,23340.00
Chadormalu,20210613,22500.00,22940.00,22470.00,22710.00,78771048860,3463380,753,D,22650.00,22890.00
Chadormalu,20210612,22500.00,22790.00,22490.00,22650.00,54117561040,2392605,704,D,22670.00,22510.00
Chadormalu,20210609,22500.00,22980.00,22350.00,22670.00,74874212940,3318244,902,D,22850.00,22550.00
Chadormalu,20210608,23120.00,23240.00,22570.00,22850.00,90563646200,3970449,1331,D,22980.00,22580.00
Chadormalu,20210607,22660.00,23130.00,22660.00,22980.00,77127134690,3359433,1199,D,23020.00,22900.00
Chadormalu,20210602,23140.00,23300.00,22590.00,23020.00,105857898270,4599487,1222,D,23040.00,22900.00
Chadormalu,20210601,23160.00,23500.00,22740.00,23040.00,81843554890,3553756,937,D,23070.00,22900.00
Chadormalu,20210531,22820.00,23480.00,22670.00,23070.00,75633872690,3286677,1051,D,23170.00,22800.00
Chadormalu,20210530,23610.00,24100.00,22550.00,23170.00,233287178300,10070419,2179,D,23130.00,22820.00
Chadormalu,20210529,22400.00,23340.00,22400.00,23130.00,181273382740,7838514,2226,D,22230.00,23340.00
Chadormalu,20210526,22690.00,22690.00,22010.00,22230.00,80635793560,3622970,1416,D,22180.00,22300.00
Chadormalu,20210525,22000.00,22830.00,22000.00,22180.00,65095198520,2899843,1075,D,21860.00,22380.00
Chadormalu,20210524,20830.00,22500.00,20830.00,21860.00,106755771100,4880736,1290,D,21760.00,21970.00
Chadormalu,20210523,21510.00,22150.00,21500.00,21760.00,79763036000,3665342,947,D,21760.00,21790.00
Chadormalu,20210522,22200.00,22690.00,21570.00,21760.00,143899751680,6612289,1347,D,22700.00,21900.00
Chadormalu,20210519,23010.00,23020.00,22340.00,22700.00,119998347930,5293126,1417,D,23020.00,22550.00
