<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bama,20210719,11700.00,12110.00,11700.00,12010.00,196886663860,16399363,1640,D,11540.00,12110.00
Bama,20210718,11790.00,11840.00,11450.00,11540.00,436945692050,37853976,5111,D,12050.00,11450.00
Bama,20210717,12100.00,12130.00,11700.00,12050.00,1098976477920,91175716,11367,D,11560.00,11850.00
Bama,20210714,11330.00,11890.00,11010.00,11560.00,864484044160,74764735,11830,D,11330.00,11890.00
Bama,20210713,11380.00,11380.00,11010.00,11330.00,2399389842330,211777152,20987,D,10840.00,11380.00
Bama,20210712,10840.00,10840.00,10840.00,10840.00,155060563200,14304480,928,D,10330.00,10840.00
Bama,20210711,10300.00,10380.00,10000.00,10330.00,596968424570,57793024,2221,D,9890.00,10380.00
Bama,20210710,9910.00,9910.00,9610.00,9890.00,1037787320600,104966135,7324,D,9440.00,9910.00
Bama,20210707,9110.00,9460.00,9050.00,9440.00,1157337392940,122570021,7676,D,9010.00,9460.00
Bama,20210706,9180.00,9230.00,8840.00,9010.00,470129535550,52163884,7527,D,9180.00,9040.00
Bama,20210705,9150.00,9340.00,9010.00,9180.00,373852854120,40743002,4643,D,8610.00,9090.00
Bama,20210629,8740.00,9060.00,8460.00,8740.00,398686834440,45598136,6544,D,8700.00,8890.00
Bama,20210628,8800.00,8880.00,8600.00,8700.00,262449486050,30165012,5283,D,9010.00,8750.00
Bama,20210627,9140.00,9240.00,8780.00,9010.00,460489973080,51136692,7841,D,9240.00,8860.00
Bama,20210626,9000.00,9310.00,8950.00,9240.00,706464851400,76418737,8390,D,8870.00,9130.00
Bama,20210623,8630.00,8990.00,8460.00,8870.00,504425474870,56882857,5526,D,8570.00,8930.00
Bama,20210622,8350.00,8730.00,8330.00,8570.00,217287363260,25348235,3411,D,8360.00,8590.00
Bama,20210621,8350.00,8530.00,8220.00,8360.00,183211002790,21913483,3384,D,8460.00,8350.00
Bama,20210620,8690.00,8800.00,8320.00,8460.00,256109789010,30282289,4152,D,8700.00,8360.00
Bama,20210619,8850.00,8900.00,8440.00,8700.00,306584906640,35235021,5055,D,8690.00,8720.00
Bama,20210616,8270.00,8750.00,8070.00,8690.00,678855855560,78146031,6066,D,8340.00,8750.00
Bama,20210615,8560.00,8580.00,8120.00,8340.00,185695390790,22264221,3603,D,8320.00,8200.00
Bama,20210614,8210.00,8570.00,8160.00,8320.00,293823388650,35307050,4467,D,8180.00,8440.00
Bama,20210613,8280.00,8430.00,8010.00,8180.00,185549694990,22675923,3814,D,8380.00,8190.00
Bama,20210612,8500.00,8700.00,8160.00,8380.00,165621772090,19758496,3510,D,8490.00,8300.00
Bama,20210609,8620.00,8680.00,8460.00,8490.00,353622291680,41659685,5277,D,8900.00,8500.00
Bama,20210608,8980.00,8980.00,8580.00,8900.00,1163570722260,130690895,12788,D,8560.00,8680.00
Bama,20210607,8560.00,8560.00,8560.00,8560.00,202495094640,23655969,895,D,8160.00,8560.00
Bama,20210602,7800.00,8240.00,7800.00,8160.00,212495649720,26052138,2382,D,7850.00,8240.00
Bama,20210601,7830.00,8190.00,7830.00,7850.00,399029384370,50810842,6094,D,8240.00,7830.00
Bama,20210531,8230.00,8370.00,8230.00,8240.00,255071200840,30958490,2898,D,8660.00,8230.00
Bama,20210530,9000.00,9180.00,8360.00,8660.00,415622356520,47999491,7080,D,8790.00,8360.00
Bama,20210529,8500.00,8940.00,8400.00,8790.00,527989512090,60040743,9235,D,8520.00,8940.00
Bama,20210526,8490.00,8710.00,8490.00,8520.00,639615227050,75094577,9114,D,8930.00,8490.00
Bama,20210525,8800.00,8800.00,8800.00,8930.00,25160335200,2859129,604,D,9260.00,8800.00
Bama,20210524,8960.00,8960.00,8960.00,9260.00,13284615680,1482658,262,D,9430.00,8960.00
Bama,20210523,9010.00,9010.00,9010.00,9430.00,4074646360,452236,179,D,9480.00,9010.00
Bama,20210522,9260.00,9260.00,9260.00,9480.00,20178077080,2179058,250,D,9740.00,9260.00
Bama,20210519,9550.00,9550.00,9550.00,9740.00,23354907000,2445540,532,D,10050.00,9550.00
Bama,20210518,10030.00,10170.00,10030.00,10050.00,228833768550,22770683,2846,D,10550.00,10030.00
Bama,20210517,11150.00,11220.00,10330.00,10550.00,286285335860,27136781,4517,D,10870.00,10330.00
Bama,20210516,10670.00,11130.00,10510.00,10870.00,623256289310,57313898,10173,D,10940.00,11000.00
Bama,20210515,10870.00,11270.00,10870.00,10940.00,871306370070,79639655,10881,D,11440.00,10870.00
Bama,20210512,11190.00,11190.00,11190.00,11440.00,12868600710,1150009,283,D,11530.00,11190.00
Bama,20210511,11320.00,11320.00,11320.00,11530.00,17958942280,1586479,441,D,11660.00,11320.00
Bama,20210510,11360.00,11360.00,11360.00,11660.00,7482911520,658707,175,D,11710.00,11360.00
Bama,20210509,11430.00,11430.00,11430.00,11710.00,9237211650,808155,97,D,11780.00,11430.00
Bama,20210508,11460.00,11460.00,11460.00,11780.00,4532464380,395503,135,D,11810.00,11460.00
Bama,20210505,11520.00,11520.00,11520.00,11810.00,8127820800,705540,195,D,11870.00,11520.00
Bama,20210503,11560.00,11560.00,11560.00,11870.00,5890895080,509593,96,D,11910.00,11560.00
Bama,20210502,11610.00,11610.00,11610.00,11910.00,6187224420,532922,103,D,11960.00,11610.00
Bama,20210501,11710.00,11710.00,11710.00,11960.00,14856886850,1268735,262,D,12070.00,11710.00
Bama,20210428,11970.00,11970.00,11970.00,12070.00,34353516960,2869968,636,D,12340.00,11970.00
Bama,20210427,12190.00,12190.00,12190.00,12340.00,28608832900,2346910,472,D,12560.00,12190.00
Bama,20210426,12250.00,12250.00,12250.00,12560.00,8387562750,684699,137,D,12620.00,12250.00
Bama,20210425,12290.00,12290.00,12290.00,12620.00,4680499020,380838,77,D,12660.00,12290.00
Bama,20210424,12330.00,12330.00,12330.00,12660.00,5960383650,483405,111,D,12710.00,12330.00
Bama,20210421,12380.00,12380.00,12380.00,12710.00,6170934800,498460,149,D,12760.00,12380.00
Bama,20210420,12550.00,12550.00,12550.00,12760.00,8337680350,664357,205,D,12800.00,12550.00
Bama,20210419,12590.00,12590.00,12590.00,12800.00,8254092130,655607,133,D,12840.00,12590.00
Bama,20210418,12620.00,12620.00,12620.00,12840.00,6180051860,489703,99,D,12870.00,12620.00
Bama,20210417,12680.00,12680.00,12680.00,12870.00,11376610120,897209,159,D,12930.00,12680.00
Bama,20210414,12820.00,12820.00,12820.00,12930.00,30016735180,2341399,527,D,13080.00,12820.00
Bama,20210413,13080.00,13080.00,13080.00,13080.00,152121930360,11630117,1496,D,13340.00,13080.00
Bama,20210412,13130.00,13130.00,13130.00,13340.00,9608323920,731784,194,D,13390.00,13130.00
Bama,20210411,13160.00,13160.00,13160.00,13390.00,6715113720,510267,131,D,13420.00,13160.00
Bama,20210410,13190.00,13190.00,13190.00,13420.00,7070974340,536086,173,D,13450.00,13190.00
Bama,20210407,13230.00,13230.00,13230.00,13450.00,10724952420,810654,221,D,13500.00,13230.00
Bama,20210406,13320.00,13320.00,13320.00,13500.00,18373221720,1379371,371,D,13590.00,13320.00
Bama,20210405,13400.00,13400.00,13400.00,13590.00,15447104600,1152769,301,D,13670.00,13400.00
Bama,20210404,13450.00,13450.00,13450.00,13670.00,9274918250,689585,175,D,13720.00,13450.00
Bama,20210403,13560.00,13560.00,13560.00,13720.00,21535639440,1588174,374,D,13830.00,13560.00
Bama,20210331,13750.00,13900.00,13740.00,13830.00,37295567310,2713777,908,D,14020.00,13740.00
Bama,20210330,14270.00,14270.00,14000.00,14020.00,198440301910,14156820,3042,D,14280.00,14000.00
Bama,20210328,14300.00,14630.00,13900.00,14280.00,418004894580,29270116,7409,D,14050.00,14200.00
Bama,20210327,13650.00,14220.00,13160.00,14050.00,673225276660,47907088,9018,D,13420.00,14220.00
Bama,20210317,13880.00,13890.00,13300.00,13420.00,368125478690,27440821,7444,D,13570.00,13300.00
Bama,20210316,13210.00,13790.00,13210.00,13570.00,459493700690,33851516,7824,D,13410.00,13600.00
Bama,20210315,13500.00,13640.00,13400.00,13410.00,415653610880,30996720,6334,D,13670.00,13400.00
Bama,20210314,13730.00,13990.00,13290.00,13670.00,617742060270,45196518,12205,D,13260.00,13510.00
Bama,20210313,13010.00,13710.00,13010.00,13260.00,695761061870,52485456,11466,D,13270.00,13390.00
Bama,20210310,13280.00,13480.00,13250.00,13270.00,145485324890,10964213,2841,D,13520.00,13250.00
Bama,20210309,13480.00,13800.00,13480.00,13520.00,1155722057250,85503642,15056,D,13750.00,13480.00
Bama,20210308,13750.00,13750.00,13750.00,13750.00,71275393750,5183665,1039,D,14030.00,13750.00
Bama,20210307,13840.00,13840.00,13840.00,14030.00,18250794160,1318699,414,D,14120.00,13840.00
Bama,20210306,13920.00,13920.00,13920.00,14120.00,15637728000,1123400,258,D,14200.00,13920.00
Bama,20210303,13990.00,13990.00,13990.00,14200.00,14558917340,1040666,386,D,14270.00,13990.00
Bama,20210302,14100.00,14100.00,14100.00,14270.00,22132868700,1569707,481,D,14380.00,14100.00
Bama,20210301,14170.00,14170.00,14170.00,14380.00,13723970910,968523,328,D,14450.00,14170.00
Bama,20210228,14210.00,14210.00,14210.00,14450.00,9712932880,683528,192,D,14500.00,14210.00
Bama,20210227,14260.00,14260.00,14260.00,14500.00,10453121880,733038,233,D,14550.00,14260.00
Bama,20210224,14490.00,14490.00,14490.00,14550.00,46447173360,3205464,566,D,14780.00,14490.00
Bama,20210223,14680.00,14680.00,14680.00,14780.00,37656446040,2565153,544,D,14970.00,14680.00
Bama,20210222,14720.00,14720.00,14720.00,14970.00,10745570560,729998,200,D,15020.00,14720.00
Bama,20210221,14790.00,14790.00,14790.00,15020.00,13506375900,913210,265,D,15090.00,14790.00
