<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gol-E-Gohar.,20210719,18740.00,19400.00,18570.00,18800.00,1010675145850,53763617,2697,D,18550.00,19230.00
Gol-E-Gohar.,20210718,18530.00,18840.00,18310.00,18550.00,112385954940,6062104,1482,D,18840.00,18840.00
Gol-E-Gohar.,20210717,19350.00,19350.00,18540.00,18840.00,163341443400,8670297,2048,D,18910.00,18740.00
Gol-E-Gohar.,20210714,19300.00,19420.00,18250.00,18910.00,276477337750,14622708,3396,D,19090.00,19170.00
Gol-E-Gohar.,20210713,18700.00,19160.00,18250.00,19090.00,911178537570,47721136,4722,D,18250.00,19160.00
Gol-E-Gohar.,20210712,17530.00,18340.00,17530.00,18250.00,340111146640,18635073,2642,D,17470.00,18340.00
Gol-E-Gohar.,20210711,17400.00,17750.00,17400.00,17470.00,81035637090,4612067,719,D,17130.00,17580.00
Gol-E-Gohar.,20210629,17900.00,18280.00,17900.00,18100.00,236871344580,13090234,1967,D,17800.00,18090.00
Gol-E-Gohar.,20210628,17840.00,18040.00,17550.00,17800.00,275429091430,15473215,1771,D,17610.00,18040.00
Gol-E-Gohar.,20210627,17480.00,17870.00,17100.00,17610.00,116578580870,6618910,1311,D,17570.00,17760.00
Gol-E-Gohar.,20210626,17820.00,18120.00,17310.00,17570.00,122794999200,6989659,2197,D,17470.00,17510.00
Gol-E-Gohar.,20210623,17300.00,17520.00,17040.00,17470.00,219839155100,12586752,1750,D,16690.00,17520.00
Gol-E-Gohar.,20210622,16390.00,17160.00,16100.00,16690.00,116797891650,6989230,1173,D,16360.00,16940.00
Gol-E-Gohar.,20210621,16450.00,16590.00,16250.00,16360.00,81423944180,4973349,1015,D,16330.00,16360.00
Gol-E-Gohar.,20210620,16490.00,16500.00,16080.00,16330.00,135487300240,8296841,1309,D,16280.00,16350.00
Gol-E-Gohar.,20210619,16280.00,16490.00,16210.00,16280.00,99255202190,6067695,1328,D,15950.00,16390.00
Gol-E-Gohar.,20210616,15790.00,16160.00,15690.00,15950.00,109991261990,6869314,1796,D,15660.00,16120.00
Gol-E-Gohar.,20210615,15260.00,15790.00,15260.00,15660.00,147083154530,9390877,2125,D,15140.00,15670.00
Gol-E-Gohar.,20210614,14610.00,15250.00,14610.00,15140.00,182883464590,12078837,1786,D,14530.00,15250.00
Gol-E-Gohar.,20210613,14310.00,14920.00,14310.00,14530.00,69218311820,4727038,958,D,14380.00,14740.00
Gol-E-Gohar.,20210612,14600.00,14670.00,14340.00,14380.00,40065749830,2761474,570,D,14320.00,14580.00
Gol-E-Gohar.,20210609,14220.00,14500.00,13910.00,14320.00,56480712900,3964691,576,D,14390.00,14470.00
Gol-E-Gohar.,20210608,14160.00,14570.00,14150.00,14390.00,113869365740,7916140,1122,D,14460.00,14240.00
Gol-E-Gohar.,20210607,14550.00,14550.00,14310.00,14460.00,154110772700,10660878,1173,D,14450.00,14480.00
Gol-E-Gohar.,20210602,14180.00,14550.00,14180.00,14450.00,106106099260,7350085,1097,D,14510.00,14510.00
Gol-E-Gohar.,20210601,14240.00,14620.00,14100.00,14510.00,45158282600,3114942,629,D,14520.00,14380.00
Gol-E-Gohar.,20210531,14080.00,14700.00,14080.00,14520.00,85797583200,5914238,848,D,14550.00,14670.00
Gol-E-Gohar.,20210530,14210.00,14740.00,14110.00,14550.00,164792303850,11323250,1527,D,14040.00,14510.00
Gol-E-Gohar.,20210529,13670.00,14050.00,13410.00,14040.00,160974176530,11468383,981,D,13390.00,14050.00
Gol-E-Gohar.,20210526,13670.00,13700.00,13370.00,13390.00,28286879580,2096362,736,D,13360.00,13600.00
Gol-E-Gohar.,20210525,13030.00,13650.00,13030.00,13360.00,57841273860,4304319,771,D,13280.00,13570.00
Gol-E-Gohar.,20210524,12830.00,13700.00,12750.00,13280.00,65174866610,4925454,776,D,13340.00,13100.00
Gol-E-Gohar.,20210523,13230.00,13900.00,12900.00,13340.00,57266156310,4339826,856,D,13490.00,12950.00
Gol-E-Gohar.,20210522,13730.00,13730.00,13490.00,13490.00,178292676400,13212356,821,D,14190.00,13500.00
Gol-E-Gohar.,20210519,14260.00,14300.00,13720.00,14190.00,36108250330,2574531,597,D,14260.00,13760.00
Gol-E-Gohar.,20210518,13800.00,14490.00,13800.00,14260.00,157165478620,11017645,1172,D,14150.00,14210.00
Gol-E-Gohar.,20210517,14040.00,14440.00,13810.00,14150.00,81742956110,5821715,841,D,14370.00,13920.00
Gol-E-Gohar.,20210516,14650.00,14770.00,14020.00,14370.00,166331249880,11578014,1639,D,14500.00,14110.00
Gol-E-Gohar.,20210515,13840.00,14510.00,13840.00,14500.00,451783298100,31166371,1678,D,13820.00,14510.00
Gol-E-Gohar.,20210512,14200.00,14390.00,13760.00,13820.00,50865419330,3636856,847,D,13710.00,13980.00
