<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Khodro,20210718,2088.00,2097.00,2022.00,2041.00,1107492081398,542502856,16973,D,2088.00,2025.00
Iran.Khodro,20210717,2124.00,2134.00,2051.00,2088.00,930022443945,445324854,16041,D,2090.00,2057.00
Iran.Khodro,20210714,2050.00,2125.00,2035.00,2090.00,881303889646,421719088,15256,D,2060.00,2110.00
Iran.Khodro,20210713,2055.00,2109.00,2022.00,2060.00,666396209671,323511997,12112,D,2095.00,2038.00
Iran.Khodro,20210712,2111.00,2145.00,2054.00,2095.00,660023364670,315068306,12838,D,2081.00,2060.00
Iran.Khodro,20210711,2003.00,2123.00,1996.00,2081.00,1033636499054,496798035,16135,D,2023.00,2112.00
Iran.Khodro,20210710,2051.00,2083.00,1985.00,2023.00,598981517569,296138087,11935,D,2071.00,2011.00
Iran.Khodro,20210707,2100.00,2121.00,2040.00,2071.00,573703034059,276970044,11015,D,2105.00,2063.00
Iran.Khodro,20210706,2116.00,2156.00,2079.00,2105.00,755248366881,358708701,13371,D,2083.00,2083.00
Iran.Khodro,20210705,2064.00,2122.00,2042.00,2083.00,634534677431,304581664,11203,D,2063.00,2100.00
Iran.Khodro,20210704,2030.00,2130.00,2001.00,2063.00,708226557336,343253686,13041,D,2089.00,2053.00
Iran.Khodro,20210703,2150.00,2178.00,2066.00,2089.00,1210792126001,579706080,17352,D,2174.00,2066.00
Iran.Khodro,20210630,2160.00,2228.00,2142.00,2174.00,1086165144783,499708692,16554,D,2184.00,2151.00
Iran.Khodro,20210629,2140.00,2246.00,2140.00,2184.00,1055449176717,483266906,16756,D,2163.00,2159.00
Iran.Khodro,20210628,2182.00,2220.00,2125.00,2163.00,1151222091470,532164484,19941,D,2191.00,2152.00
Iran.Khodro,20210627,2080.00,2222.00,2070.00,2191.00,2511012854367,1145837717,31382,D,2117.00,2198.00
