<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Pars.Khodro,20210811,1130.00,1139.00,1114.00,1122.00,244772295215,218178894,5986,D,1119.00,1126.00
S*Pars.Khodro,20210810,1125.00,1141.00,1105.00,1119.00,231309620458,206729494,5792,D,1120.00,1121.00
S*Pars.Khodro,20210809,1103.00,1140.00,1100.00,1120.00,229774928250,205123975,5226,D,1103.00,1119.00
S*Pars.Khodro,20210808,1115.00,1133.00,1088.00,1103.00,272000559093,246521723,6872,D,1129.00,1106.00
S*Pars.Khodro,20210807,1130.00,1162.00,1109.00,1129.00,206942071232,183272494,5044,D,1124.00,1118.00
S*Pars.Khodro,20210804,1145.00,1158.00,1111.00,1124.00,183215715130,163041717,4978,D,1142.00,1124.00
S*Pars.Khodro,20210803,1166.00,1175.00,1132.00,1142.00,264640884411,231708331,6186,D,1191.00,1138.00
S*Pars.Khodro,20210802,1170.00,1218.00,1162.00,1191.00,242641927131,203799555,4955,D,1160.00,1175.00
S*Pars.Khodro,20210801,1170.00,1189.00,1141.00,1160.00,169106652205,145818635,3868,D,1151.00,1146.00
S*Pars.Khodro,20210731,1143.00,1169.00,1139.00,1151.00,174793576691,151814928,4241,D,1121.00,1148.00
S*Pars.Khodro,20210728,1120.00,1150.00,1105.00,1121.00,276655935632,246881419,6161,D,1153.00,1134.00
S*Pars.Khodro,20210727,1185.00,1194.00,1139.00,1153.00,239655477320,207932986,4602,D,1198.00,1139.00
S*Pars.Khodro,20210726,1198.00,1219.00,1191.00,1198.00,65859352215,54963136,1156,D,1237.00,1195.00
S*Pars.Khodro,20210717,1270.00,1279.00,1208.00,1237.00,384306313274,310619191,7891,D,1243.00,1220.00
S*Pars.Khodro,20210714,1198.00,1263.00,1192.00,1243.00,539065606669,433622653,8239,D,1203.00,1263.00
S*Pars.Khodro,20210713,1209.00,1225.00,1190.00,1203.00,329673189593,274151085,4794,D,1212.00,1201.00
S*Pars.Khodro,20210712,1220.00,1242.00,1191.00,1212.00,352540054948,290777782,5689,D,1207.00,1203.00
S*Pars.Khodro,20210711,1199.00,1239.00,1174.00,1207.00,360441832621,298743182,6191,D,1192.00,1213.00
S*Pars.Khodro,20210710,1216.00,1227.00,1175.00,1192.00,204360898176,171463482,4767,D,1221.00,1201.00
S*Pars.Khodro,20210707,1211.00,1246.00,1191.00,1221.00,220942621232,181023738,5081,D,1217.00,1215.00
S*Pars.Khodro,20210706,1230.00,1247.00,1201.00,1217.00,278384590124,228732447,6298,D,1210.00,1211.00
S*Pars.Khodro,20210705,1210.00,1237.00,1176.00,1210.00,477631507304,394735072,8518,D,1190.00,1214.00
S*Pars.Khodro,20210704,1130.00,1199.00,1110.00,1190.00,718146478366,603532349,8471,D,1142.00,1199.00
S*Pars.Khodro,20210703,1158.00,1175.00,1113.00,1142.00,357853358051,313302353,6456,D,1158.00,1133.00
S*Pars.Khodro,20210630,1153.00,1190.00,1136.00,1158.00,345541351688,298323513,6811,D,1161.00,1159.00
S*Pars.Khodro,20210629,1144.00,1191.00,1127.00,1161.00,265572298693,228679554,5559,D,1144.00,1153.00
S*Pars.Khodro,20210628,1150.00,1168.00,1128.00,1144.00,332103938973,290191688,7164,D,1135.00,1146.00
S*Pars.Khodro,20210627,1090.00,1144.00,1070.00,1135.00,703224129014,619798047,11389,D,1090.00,1144.00
S*Pars.Khodro,20210626,1096.00,1110.00,1060.00,1090.00,339508287547,311367477,7911,D,1081.00,1083.00
S*Pars.Khodro,20210623,1080.00,1103.00,1052.00,1081.00,417127605784,385840016,9299,D,1078.00,1073.00
S*Pars.Khodro,20210622,1069.00,1096.00,1060.00,1078.00,407800519475,378183249,8473,D,1047.00,1072.00
S*Pars.Khodro,20210621,1016.00,1064.00,1001.00,1047.00,317770779880,303641631,6418,D,1014.00,1064.00
S*Pars.Khodro,20210620,1048.00,1050.00,998.00,1014.00,368228992185,363188738,8761,D,1045.00,1028.00
S*Pars.Khodro,20210619,1045.00,1086.00,1023.00,1045.00,365157930802,349477521,8678,D,1075.00,1043.00
S*Pars.Khodro,20210616,1059.00,1114.00,1054.00,1075.00,312711152813,290798218,7730,D,1103.00,1061.00
S*Pars.Khodro,20210615,1140.00,1158.00,1060.00,1103.00,657063583756,595784573,14151,D,1114.00,1071.00
S*Pars.Khodro,20210614,1100.00,1120.00,1090.00,1114.00,1077095363887,967019423,16575,D,1067.00,1120.00
S*Pars.Khodro,20210613,1050.00,1071.00,1042.00,1067.00,892639431612,836731006,12601,D,1020.00,1071.00
S*Pars.Khodro,20210612,1040.00,1060.00,988.00,1020.00,550944312599,540383456,10801,D,1120.00,1044.00
