<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Saipa,20210719,1815.00,1860.00,1790.00,1811.00,771392760271,426058670,14236,D,1831.00,1807.00
S*Saipa,20210718,1858.00,1876.00,1802.00,1831.00,730473946786,398910518,12686,D,1891.00,1820.00
S*Saipa,20210717,1908.00,1928.00,1852.00,1891.00,769178267035,406830280,12057,D,1882.00,1858.00
S*Saipa,20210714,1835.00,1922.00,1827.00,1882.00,795527923843,422592009,13050,D,1848.00,1898.00
S*Saipa,20210713,1851.00,1900.00,1822.00,1848.00,585898465043,316964383,11076,D,1888.00,1833.00
S*Saipa,20210712,1910.00,1934.00,1856.00,1888.00,707123739952,374566999,11577,D,1877.00,1862.00
S*Saipa,20210711,1830.00,1929.00,1825.00,1877.00,781036394601,416098887,13402,D,1843.00,1897.00
S*Saipa,20210710,1870.00,1909.00,1821.00,1843.00,533375004784,289381297,10842,D,1894.00,1827.00
S*Saipa,20210707,1920.00,1944.00,1860.00,1894.00,744103026464,392963587,11236,D,1923.00,1880.00
S*Saipa,20210706,1920.00,1980.00,1890.00,1923.00,903367583310,469846280,13926,D,1902.00,1905.00
S*Saipa,20210705,1894.00,1940.00,1853.00,1902.00,685535393829,360398166,11489,D,1891.00,1915.00
S*Saipa,20210704,1850.00,1960.00,1825.00,1891.00,944732982005,499646908,14571,D,1915.00,1885.00
S*Saipa,20210703,1979.00,1980.00,1891.00,1915.00,967970402804,505393163,12815,D,1990.00,1891.00
S*Saipa,20210630,1990.00,2059.00,1952.00,1990.00,1195005592165,600402356,17486,D,2008.00,1971.00
S*Saipa,20210629,1931.00,2039.00,1920.00,2008.00,1689850354019,841595607,19416,D,1942.00,1982.00
S*Saipa,20210628,1941.00,1975.00,1902.00,1942.00,1341241703154,690664261,16932,D,1928.00,1941.00
S*Saipa,20210627,1830.00,1941.00,1810.00,1928.00,2554543709706,1324978881,23777,D,1849.00,1941.00
