<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sand.Foundry,20210719,40550.00,42590.00,39630.00,42240.00,171549743510,4061268,1696,D,40570.00,42590.00
Sand.Foundry,20210718,41000.00,41120.00,39350.00,40570.00,164149571890,4046358,1910,D,39170.00,41080.00
Sand.Foundry,20210717,37050.00,39310.00,37050.00,39170.00,125619129750,3207356,656,D,37440.00,39310.00
Sand.Foundry,20210711,37000.00,38250.00,36410.00,37440.00,155662911470,4157336,2261,D,37850.00,37000.00
Sand.Foundry,20210710,38530.00,38800.00,36120.00,37850.00,180771165480,4775842,2367,D,37210.00,38200.00
Sand.Foundry,20210707,36110.00,37310.00,36110.00,37210.00,67709199370,1819596,886,D,35540.00,37310.00
Sand.Foundry,20210706,34440.00,35590.00,34440.00,35540.00,78122815420,2197874,557,D,33900.00,35590.00
Sand.Foundry,20210705,32750.00,34270.00,32750.00,33900.00,78818442520,2325066,797,D,32640.00,34270.00
Sand.Foundry,20210704,30270.00,33150.00,30270.00,32640.00,31975532400,979603,819,D,31810.00,32800.00
Sand.Foundry,20210703,31890.00,33210.00,31550.00,31810.00,50255596490,1579875,1128,D,33210.00,31600.00
Sand.Foundry,20210630,34560.00,35450.00,33070.00,33210.00,96511397600,2905719,1609,D,34810.00,33070.00
Sand.Foundry,20210629,34900.00,35210.00,33540.00,34810.00,53251075480,1529709,1323,D,33540.00,34560.00
Sand.Foundry,20210628,33140.00,33820.00,31320.00,33540.00,86740678880,2586387,1289,D,32210.00,33820.00
Sand.Foundry,20210627,32000.00,33180.00,31180.00,32210.00,41134908400,1277275,944,D,32250.00,32560.00
Sand.Foundry,20210626,31550.00,32720.00,31180.00,32250.00,50615379130,1569417,1181,D,31170.00,32100.00
Sand.Foundry,20210623,31280.00,31520.00,30000.00,31170.00,40962136640,1314166,971,D,30020.00,31510.00
Sand.Foundry,20210622,29000.00,30620.00,28370.00,30020.00,50830493810,1693468,777,D,29170.00,30620.00
Sand.Foundry,20210621,29700.00,29790.00,28010.00,29170.00,31765688910,1088881,714,D,29340.00,28990.00
Sand.Foundry,20210620,30240.00,30240.00,28860.00,29340.00,23738351670,809092,590,D,30370.00,28880.00
Sand.Foundry,20210619,30050.00,31150.00,29580.00,30370.00,30928497120,1018242,628,D,30100.00,30920.00
Sand.Foundry,20210616,30510.00,31890.00,29510.00,30100.00,63031009180,2093997,1223,D,31060.00,30290.00
Sand.Foundry,20210615,31110.00,31110.00,30160.00,31060.00,126007678820,4057532,1308,D,29630.00,30800.00
Sand.Foundry,20210614,28010.00,29750.00,27670.00,29630.00,67524109920,2279135,985,D,28340.00,29750.00
Sand.Foundry,20210613,28310.00,29490.00,28310.00,28340.00,59359045010,2094613,979,D,29790.00,28310.00
Sand.Foundry,20210612,31500.00,31500.00,29600.00,29790.00,37423822210,1256438,826,D,31150.00,29600.00
Sand.Foundry,20210609,32000.00,32540.00,30350.00,31150.00,40670175900,1305786,941,D,31750.00,31380.00
Sand.Foundry,20210608,31150.00,31900.00,31000.00,31750.00,96491215630,3039276,1883,D,30390.00,31900.00
Sand.Foundry,20210607,31000.00,31500.00,30010.00,30390.00,151125567690,4972635,2195,D,31580.00,31210.00
Sand.Foundry,20210602,31830.00,31830.00,30360.00,31580.00,204194585810,6466249,2818,D,30320.00,31800.00
Sand.Foundry,20210601,30320.00,30320.00,30320.00,30320.00,21023736400,693395,199,D,28880.00,30320.00
Sand.Foundry,20210531,28390.00,28990.00,27650.00,28880.00,65100497990,2254551,682,D,27610.00,28990.00
Sand.Foundry,20210530,26900.00,27680.00,26370.00,27610.00,129743868340,4698771,1221,D,26370.00,27680.00
Sand.Foundry,20210529,25650.00,27000.00,25120.00,26370.00,80945842260,3070028,2444,D,26290.00,26510.00
Sand.Foundry,20210526,26290.00,26980.00,26290.00,26290.00,27460731770,1044394,461,D,27670.00,26290.00
Sand.Foundry,20210525,27620.00,29000.00,27620.00,27670.00,70997982650,2565647,760,D,29070.00,27620.00
Sand.Foundry,20210524,27910.00,27910.00,27910.00,29070.00,2849136530,102083,58,D,29370.00,27910.00
Sand.Foundry,20210523,28560.00,28560.00,28560.00,29370.00,6509623680,227928,70,D,30060.00,28560.00
Sand.Foundry,20210517,29310.00,31900.00,29300.00,30060.00,171856532240,5717373,3026,D,30840.00,29300.00
Sand.Foundry,20210516,30790.00,31520.00,30790.00,30840.00,45944581370,1489781,811,D,32410.00,30790.00
