<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MAPNA,20210811,20400.00,21290.00,19990.00,20650.00,319518850410,15474641,2524,D,20310.00,20460.00
MAPNA,20210810,19700.00,20410.00,19020.00,20310.00,794742091090,39124729,3187,D,19440.00,20410.00
MAPNA,20210809,18690.00,19540.00,18330.00,19440.00,547274903510,28156470,1763,D,18610.00,19540.00
MAPNA,20210808,18000.00,18810.00,17780.00,18610.00,182142649220,9785118,1666,D,17920.00,18550.00
MAPNA,20210807,18800.00,18890.00,17750.00,17920.00,145086759750,8097647,1355,D,18400.00,18000.00
MAPNA,20210804,17870.00,18900.00,17620.00,18400.00,196262802840,10664629,1415,D,18020.00,18420.00
MAPNA,20210803,17880.00,18360.00,17700.00,18020.00,130222391210,7226718,1167,D,18120.00,17720.00
MAPNA,20210802,18650.00,18860.00,17850.00,18120.00,248869171300,13737196,2282,D,18310.00,18050.00
MAPNA,20210801,18840.00,18840.00,18070.00,18310.00,150021655850,8192430,1500,D,18070.00,18170.00
MAPNA,20210731,17700.00,18360.00,16640.00,18070.00,362462780950,20063024,2170,D,17490.00,18360.00
MAPNA,20210728,17990.00,17990.00,17130.00,17490.00,206798603440,11821086,1637,D,17800.00,17400.00
MAPNA,20210719,17030.00,17860.00,17030.00,17800.00,595230221220,33431872,2508,D,17010.00,17860.00
MAPNA,20210718,16650.00,17500.00,16550.00,17010.00,172444112360,10140035,1550,D,17130.00,16990.00
MAPNA,20210717,18060.00,18060.00,16710.00,17130.00,215828875600,12599811,2329,D,17270.00,16800.00
MAPNA,20210714,16500.00,17350.00,16250.00,17270.00,702219629810,40664648,5330,D,16530.00,17350.00
MAPNA,20210713,16900.00,16900.00,16260.00,16530.00,198039422060,11981683,1755,D,16840.00,16320.00
MAPNA,20210712,16150.00,16910.00,15810.00,16840.00,831377421210,49360988,3733,D,16110.00,16690.00
MAPNA,20210711,15900.00,16440.00,15850.00,16110.00,374894395920,23265778,3437,D,15850.00,15980.00
MAPNA,20210710,15850.00,15850.00,15650.00,15850.00,1683088825250,106197931,6045,D,15100.00,15850.00
MAPNA,20210707,15200.00,15200.00,15200.00,15100.00,112685443200,7413516,447,D,14480.00,15200.00
MAPNA,20210706,14000.00,14560.00,14000.00,14480.00,123618575290,8534072,534,D,13870.00,14560.00
MAPNA,20210705,13700.00,14150.00,13200.00,13870.00,111400613110,8022264,944,D,13670.00,14040.00
MAPNA,20210704,13240.00,13770.00,13100.00,13670.00,64344231010,4733248,663,D,13770.00,13600.00
MAPNA,20210703,13930.00,14190.00,13240.00,13770.00,110029114710,7997764,1062,D,13930.00,13240.00
MAPNA,20210630,13550.00,14040.00,13460.00,13930.00,161478542570,11593164,1069,D,13750.00,13760.00
MAPNA,20210629,13650.00,14030.00,13460.00,13750.00,81401853870,5916683,931,D,13740.00,13580.00
MAPNA,20210628,13800.00,13870.00,13310.00,13740.00,70406242950,5160625,1014,D,13870.00,13650.00
MAPNA,20210627,13930.00,14280.00,13500.00,13870.00,78119541940,5653071,1073,D,13960.00,13600.00
MAPNA,20210626,14000.00,14230.00,13660.00,13960.00,177726113600,12733164,1779,D,13660.00,13790.00
MAPNA,20210623,13400.00,13810.00,13000.00,13660.00,321523484250,23535710,2356,D,13160.00,13810.00
MAPNA,20210622,13040.00,13170.00,12650.00,13160.00,274657594990,20874385,1019,D,12550.00,13170.00
MAPNA,20210621,12010.00,12650.00,11930.00,12550.00,245186747430,19532375,1448,D,12050.00,12650.00
MAPNA,20210620,12270.00,12290.00,11920.00,12050.00,99995689890,8310091,820,D,12110.00,12050.00
MAPNA,20210619,12060.00,12300.00,11940.00,12110.00,65015872040,5361447,844,D,12100.00,12120.00
MAPNA,20210616,12000.00,12200.00,11700.00,12100.00,33920550080,2825599,626,D,12140.00,12010.00
MAPNA,20210615,12420.00,12420.00,11900.00,12140.00,62335763600,5185894,932,D,12280.00,11940.00
MAPNA,20210614,12300.00,12780.00,12060.00,12280.00,110253575820,8974309,1287,D,12200.00,12200.00
