<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tabriz.Oil.Refine,20210811,40300.00,41180.00,39400.00,40200.00,565904685700,14075721,5554,D,39260.00,40040.00
Tabriz.Oil.Refine,20210810,39020.00,40100.00,38000.00,39260.00,457310157670,11648076,5086,D,38470.00,39900.00
Tabriz.Oil.Refine,20210809,37770.00,38880.00,37500.00,38470.00,668591701860,17379386,5526,D,37030.00,38870.00
Tabriz.Oil.Refine,20210808,35790.00,37300.00,35150.00,37030.00,520248203510,14051138,2691,D,35530.00,37300.00
Tabriz.Oil.Refine,20210807,36740.00,37000.00,34900.00,35530.00,347417608400,9777898,4372,D,36170.00,35510.00
Tabriz.Oil.Refine,20210804,35900.00,36380.00,35010.00,36170.00,828015979800,22890311,4020,D,34650.00,36380.00
Tabriz.Oil.Refine,20210803,33410.00,34800.00,33200.00,34650.00,468883313520,13532378,3491,D,33150.00,34800.00
Tabriz.Oil.Refine,20210802,32900.00,33900.00,32000.00,33150.00,176871069650,5334828,1865,D,32710.00,33380.00
Tabriz.Oil.Refine,20210801,33000.00,33360.00,32250.00,32710.00,223975208770,6847659,2200,D,32900.00,32710.00
Tabriz.Oil.Refine,20210731,32050.00,33110.00,31530.00,32900.00,350183136310,10642962,2812,D,31540.00,32880.00
Tabriz.Oil.Refine,20210728,31290.00,31990.00,31210.00,31540.00,162569538940,5154576,2358,D,31310.00,31520.00
Tabriz.Oil.Refine,20210727,31350.00,31880.00,31030.00,31310.00,145725622460,4653931,1241,D,32510.00,31280.00
Tabriz.Oil.Refine,20210719,35590.00,37350.00,35590.00,36680.00,461102612120,12570577,4940,D,36000.00,37300.00
Tabriz.Oil.Refine,20210718,36770.00,37250.00,35550.00,36000.00,478778698100,13298832,4532,D,36950.00,35910.00
Tabriz.Oil.Refine,20210717,37000.00,37000.00,36400.00,36950.00,1593924939050,43134286,6523,D,35240.00,37000.00
Tabriz.Oil.Refine,20210714,34200.00,36120.00,34200.00,35240.00,540035788730,15326281,3645,D,34680.00,36050.00
Tabriz.Oil.Refine,20210713,34370.00,35560.00,34020.00,34680.00,264852455910,7636128,2346,D,34390.00,34320.00
Tabriz.Oil.Refine,20210712,34640.00,35260.00,34040.00,34390.00,316798126110,9211762,2903,D,34230.00,34100.00
Tabriz.Oil.Refine,20210711,34020.00,34700.00,33300.00,34230.00,353668364910,10333390,2985,D,33710.00,34420.00
Tabriz.Oil.Refine,20210710,33500.00,34260.00,33300.00,33710.00,199191674650,5908385,2291,D,34260.00,33720.00
Tabriz.Oil.Refine,20210707,33250.00,35100.00,33250.00,34260.00,320752538830,9362721,2772,D,34530.00,34060.00
Tabriz.Oil.Refine,20210706,34700.00,35370.00,33810.00,34530.00,502771632510,14558975,4453,D,34050.00,33900.00
Tabriz.Oil.Refine,20210705,33160.00,34280.00,33000.00,34050.00,844493562100,24804524,4953,D,32650.00,34280.00
Tabriz.Oil.Refine,20210704,30820.00,32820.00,30560.00,32650.00,905245165570,27729705,4081,D,31260.00,32820.00
Tabriz.Oil.Refine,20210703,32940.00,32940.00,30930.00,31260.00,432500970120,13834531,3413,D,32550.00,30930.00
Tabriz.Oil.Refine,20210630,31740.00,33190.00,31250.00,32550.00,353003174760,10844540,2728,D,31650.00,32390.00
Tabriz.Oil.Refine,20210629,32000.00,32330.00,30910.00,31650.00,210219738410,6641169,2079,D,31690.00,31590.00
Tabriz.Oil.Refine,20210628,31000.00,32390.00,30310.00,31690.00,361765635650,11415249,3521,D,30940.00,31690.00
Tabriz.Oil.Refine,20210627,30740.00,31930.00,30010.00,30940.00,260089434880,8405327,3057,D,31040.00,30630.00
Tabriz.Oil.Refine,20210626,30530.00,31680.00,30200.00,31040.00,573887465950,18489308,5167,D,30180.00,30550.00
Tabriz.Oil.Refine,20210623,30200.00,30200.00,29670.00,30180.00,1230169874820,40757176,4217,D,28770.00,30200.00
Tabriz.Oil.Refine,20210622,28770.00,28770.00,28770.00,28770.00,191839280640,6668032,528,D,27400.00,28770.00
Tabriz.Oil.Refine,20210621,26950.00,28100.00,26310.00,27400.00,80847832390,2955653,1322,D,27590.00,27210.00
Tabriz.Oil.Refine,20210620,28800.00,28800.00,27000.00,27590.00,220364333620,7986898,2353,D,28250.00,27110.00
Tabriz.Oil.Refine,20210619,27600.00,28360.00,27500.00,28250.00,555982566490,19682540,3116,D,27010.00,28360.00
Tabriz.Oil.Refine,20210616,25010.00,27210.00,25010.00,27010.00,216435039710,8012733,1471,D,25920.00,27210.00
Tabriz.Oil.Refine,20210615,26490.00,26620.00,25220.00,25920.00,120061243720,4631219,1458,D,25840.00,25350.00
Tabriz.Oil.Refine,20210614,24750.00,26330.00,24750.00,25840.00,103679930530,4011921,1616,D,25090.00,26080.00
Tabriz.Oil.Refine,20210613,25410.00,25570.00,24650.00,25090.00,35199713440,1401320,947,D,25080.00,25110.00
Tabriz.Oil.Refine,20210612,25390.00,25700.00,24800.00,25080.00,60218001740,2384986,1318,D,24840.00,25330.00
Tabriz.Oil.Refine,20210609,24600.00,25300.00,24120.00,24840.00,80987222000,3260015,998,D,24840.00,25270.00
Tabriz.Oil.Refine,20210608,24900.00,25460.00,24530.00,24840.00,113599245950,4573623,1495,D,25030.00,24630.00
Tabriz.Oil.Refine,20210607,24800.00,25700.00,24340.00,25030.00,100309669180,4007322,1408,D,24890.00,25020.00
Tabriz.Oil.Refine,20210602,24270.00,25520.00,24100.00,24890.00,102564610010,4120919,1443,D,24580.00,24800.00
Tabriz.Oil.Refine,20210601,24500.00,25250.00,24080.00,24580.00,87093112480,3552115,1072,D,25070.00,24300.00
Tabriz.Oil.Refine,20210531,24900.00,26300.00,24110.00,25070.00,133999689930,5345140,1647,D,25320.00,24600.00
Tabriz.Oil.Refine,20210530,25540.00,25540.00,24300.00,25320.00,272385291500,10756180,2839,D,24330.00,24830.00
Tabriz.Oil.Refine,20210529,23130.00,24340.00,23130.00,24330.00,258494290510,10626195,1194,D,23190.00,24340.00
Tabriz.Oil.Refine,20210526,22870.00,23580.00,22530.00,23190.00,56877303300,2455946,1623,D,23250.00,23340.00
Tabriz.Oil.Refine,20210525,22900.00,23780.00,22870.00,23250.00,80326354890,3445655,1649,D,22850.00,23050.00
Tabriz.Oil.Refine,20210524,21960.00,24000.00,21950.00,22850.00,113266713540,4956196,2163,D,23100.00,23030.00
Tabriz.Oil.Refine,20210523,23090.00,23400.00,23090.00,23100.00,103101835540,4464175,885,D,24300.00,23090.00
Tabriz.Oil.Refine,20210522,23100.00,23100.00,23100.00,24300.00,487687200,21112,15,D,24310.00,23100.00
Tabriz.Oil.Refine,20210519,24640.00,25490.00,23820.00,24310.00,74944568990,3104871,1163,D,25070.00,23850.00
Tabriz.Oil.Refine,20210518,24280.00,25970.00,24250.00,25070.00,77326587890,3097468,1545,D,25520.00,24840.00
Tabriz.Oil.Refine,20210517,24810.00,25930.00,24680.00,25520.00,47401194960,1891257,1082,D,25970.00,24680.00
