<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Isf..Oil.Ref.Co.,20210811,13550.00,13710.00,13300.00,13670.00,3188216820130,233261878,22599,D,13060.00,13710.00
S*Isf..Oil.Ref.Co.,20210810,13120.00,13270.00,12950.00,13060.00,1504470840400,115183260,15312,D,13080.00,13120.00
S*Isf..Oil.Ref.Co.,20210809,13000.00,13390.00,12840.00,13080.00,1019890429420,77987300,11846,D,12980.00,13120.00
S*Isf..Oil.Ref.Co.,20210808,12510.00,13200.00,12510.00,12980.00,1341857386330,103402014,14557,D,12680.00,13000.00
S*Isf..Oil.Ref.Co.,20210807,12900.00,12990.00,12500.00,12680.00,1631157506590,128617021,14841,D,12710.00,12630.00
S*Isf..Oil.Ref.Co.,20210804,12250.00,12850.00,12250.00,12710.00,2382366145250,187476042,18422,D,12240.00,12850.00
S*Isf..Oil.Ref.Co.,20210803,12200.00,12390.00,12070.00,12240.00,1068095302130,87276749,11156,D,12040.00,12250.00
S*Isf..Oil.Ref.Co.,20210802,12050.00,12250.00,11900.00,12040.00,997860102810,82885717,10823,D,12050.00,12050.00
S*Isf..Oil.Ref.Co.,20210801,12300.00,12420.00,11880.00,12050.00,892851906370,74081658,12883,D,12180.00,11920.00
S*Isf..Oil.Ref.Co.,20210731,11710.00,12440.00,11710.00,12180.00,1331943551220,109339175,14181,D,11850.00,12220.00
S*Isf..Oil.Ref.Co.,20210728,11720.00,12110.00,11610.00,11850.00,978122569580,82558843,15135,D,11880.00,11700.00
S*Isf..Oil.Ref.Co.,20210727,11940.00,12100.00,11710.00,11880.00,781291907140,65762226,9199,D,12560.00,11860.00
S*Isf..Oil.Ref.Co.,20210717,13820.00,13820.00,13490.00,13760.00,4695652356780,341267445,41865,D,13170.00,13620.00
S*Isf..Oil.Ref.Co.,20210714,13030.00,13400.00,12830.00,13170.00,1498168809260,113715688,18151,D,13030.00,13370.00
S*Isf..Oil.Ref.Co.,20210713,12900.00,13280.00,12700.00,13030.00,1321693924410,101424524,15345,D,12970.00,13010.00
S*Isf..Oil.Ref.Co.,20210712,12890.00,13220.00,12740.00,12970.00,1427117752810,110060130,16478,D,12650.00,12790.00
S*Isf..Oil.Ref.Co.,20210711,12180.00,12830.00,12110.00,12650.00,1332139207630,105282413,15218,D,12280.00,12810.00
S*Isf..Oil.Ref.Co.,20210710,12700.00,12700.00,12200.00,12280.00,1691682193640,137802863,22656,D,12840.00,12200.00
S*Isf..Oil.Ref.Co.,20210707,12800.00,13100.00,12610.00,12840.00,1140092506020,88799494,14401,D,13060.00,12700.00
S*Isf..Oil.Ref.Co.,20210706,13000.00,13210.00,12850.00,13060.00,1994077424060,152705257,20648,D,12590.00,12850.00
S*Isf..Oil.Ref.Co.,20210705,12160.00,12690.00,12160.00,12590.00,2088260294460,165902904,18372,D,12090.00,12690.00
S*Isf..Oil.Ref.Co.,20210704,11950.00,12440.00,11850.00,12090.00,1644728934320,136048084,20097,D,12470.00,12060.00
S*Isf..Oil.Ref.Co.,20210703,12970.00,13070.00,12290.00,12470.00,1225728283600,98304195,16085,D,12930.00,12290.00
S*Isf..Oil.Ref.Co.,20210630,12650.00,13280.00,12490.00,12930.00,1777117539370,137445183,21137,D,12820.00,12830.00
S*Isf..Oil.Ref.Co.,20210629,12780.00,13230.00,12600.00,12820.00,1488249334830,116119695,19037,D,12990.00,12640.00
S*Isf..Oil.Ref.Co.,20210628,12930.00,13270.00,12700.00,12990.00,2059793699040,158620282,23982,D,13270.00,12850.00
S*Isf..Oil.Ref.Co.,20210627,13260.00,13700.00,12940.00,13270.00,2807784497850,211534578,28827,D,13530.00,13040.00
S*Isf..Oil.Ref.Co.,20210626,13240.00,13740.00,13100.00,13530.00,2813653724620,207905327,27467,D,13090.00,13290.00
S*Isf..Oil.Ref.Co.,20210623,12930.00,13490.00,12650.00,13090.00,2237170902500,170929185,26037,D,12920.00,13190.00
S*Isf..Oil.Ref.Co.,20210622,12650.00,13160.00,12650.00,12920.00,1204172166440,93182104,13726,D,12550.00,12900.00
S*Isf..Oil.Ref.Co.,20210621,12460.00,12780.00,12220.00,12550.00,1667685833470,132859784,17158,D,12660.00,12420.00
S*Isf..Oil.Ref.Co.,20210620,12990.00,13030.00,12300.00,12660.00,2919033085500,230528067,21550,D,12650.00,12460.00
S*Isf..Oil.Ref.Co.,20210619,12450.00,12890.00,12090.00,12650.00,2551995391010,201743432,18344,D,12280.00,12890.00
S*Isf..Oil.Ref.Co.,20210616,11850.00,12530.00,11800.00,12280.00,2382569088660,193971419,18985,D,12090.00,12340.00
S*Isf..Oil.Ref.Co.,20210615,12230.00,12410.00,11720.00,12090.00,2664649895300,220352015,20453,D,11940.00,11850.00
S*Isf..Oil.Ref.Co.,20210614,11590.00,12010.00,11560.00,11940.00,1832666443970,153442437,16313,D,11440.00,12010.00
S*Isf..Oil.Ref.Co.,20210613,11360.00,11570.00,11160.00,11440.00,953074345250,83279447,11527,D,11310.00,11530.00
S*Isf..Oil.Ref.Co.,20210612,11100.00,11550.00,11010.00,11310.00,1291378993640,114199775,11896,D,11360.00,11400.00
S*Isf..Oil.Ref.Co.,20210608,11460.00,11780.00,11000.00,11360.00,1490840886200,131192992,15778,D,11410.00,11060.00
S*Isf..Oil.Ref.Co.,20210607,11400.00,11650.00,11050.00,11410.00,1569614872070,137622699,16211,D,11170.00,11450.00
S*Isf..Oil.Ref.Co.,20210602,10700.00,11290.00,10640.00,11170.00,2139912991720,191546097,15710,D,10760.00,11290.00
S*Isf..Oil.Ref.Co.,20210601,10600.00,11080.00,10460.00,10760.00,1383643627450,128649085,14512,D,10730.00,10640.00
S*Isf..Oil.Ref.Co.,20210531,10470.00,10990.00,10250.00,10730.00,3342608342120,311536936,25655,D,10470.00,10580.00
S*Isf..Oil.Ref.Co.,20210530,10470.00,10470.00,10310.00,10470.00,3423675738770,327049780,15177,D,9980.00,10470.00
S*Isf..Oil.Ref.Co.,20210529,9790.00,10000.00,9660.00,9980.00,576672750100,57785485,3178,D,9530.00,10000.00
S*Isf..Oil.Ref.Co.,20210526,9540.00,9700.00,9320.00,9530.00,729759659780,76601134,13379,D,9490.00,9610.00
S*Isf..Oil.Ref.Co.,20210525,9200.00,9510.00,9190.00,9490.00,1331759164200,140374280,13626,D,9060.00,9510.00
S*Isf..Oil.Ref.Co.,20210524,8770.00,9430.00,8610.00,9060.00,1252115273690,138236910,17661,D,9020.00,9200.00
S*Isf..Oil.Ref.Co.,20210523,9000.00,9220.00,9000.00,9020.00,1144902120950,126993152,9494,D,9470.00,9000.00
S*Isf..Oil.Ref.Co.,20210522,9460.00,9600.00,9460.00,9470.00,407722989520,43072006,3607,D,9950.00,9460.00
S*Isf..Oil.Ref.Co.,20210519,9950.00,9950.00,9950.00,9950.00,127698429350,12834013,1380,D,10470.00,9950.00
S*Isf..Oil.Ref.Co.,20210517,10650.00,10810.00,10330.00,10470.00,753475895680,71955462,8341,D,10870.00,10330.00
S*Isf..Oil.Ref.Co.,20210516,10920.00,11190.00,10610.00,10870.00,1169924869860,107583700,15785,D,10940.00,10670.00
S*Isf..Oil.Ref.Co.,20210515,10310.00,11040.00,10220.00,10940.00,2297389044400,210033542,20821,D,10520.00,11020.00
S*Isf..Oil.Ref.Co.,20210512,10500.00,10750.00,10070.00,10520.00,2229006289620,211890195,23535,D,10150.00,10310.00
S*Isf..Oil.Ref.Co.,20210511,10100.00,10210.00,9900.00,10150.00,810956654220,79874482,7192,D,9640.00,10210.00
S*Isf..Oil.Ref.Co.,20210510,9410.00,10080.00,9410.00,9640.00,1617709057840,167829919,19858,D,9700.00,9970.00
S*Isf..Oil.Ref.Co.,20210509,9700.00,9700.00,9700.00,9700.00,203983540700,21029231,1210,D,10000.00,9700.00
S*Isf..Oil.Ref.Co.,20210508,10210.00,10410.00,9910.00,10000.00,574865590870,57498938,7598,D,10210.00,9910.00
S*Isf..Oil.Ref.Co.,20210505,10200.00,10370.00,10200.00,10210.00,1650318038430,161648750,15532,D,10510.00,10200.00
S*Isf..Oil.Ref.Co.,20210503,10250.00,10250.00,10250.00,10510.00,18222716500,1777826,583,D,10560.00,10250.00
S*Isf..Oil.Ref.Co.,20210502,10360.00,10360.00,10360.00,10560.00,44494107280,4294798,653,D,10680.00,10360.00
S*Isf..Oil.Ref.Co.,20210501,10850.00,11050.00,10530.00,10680.00,541165822430,50659454,7525,D,10850.00,10530.00
S*Isf..Oil.Ref.Co.,20210428,11000.00,11390.00,10670.00,10850.00,1396461566680,128765004,17193,D,11000.00,10850.00
S*Isf..Oil.Ref.Co.,20210427,10850.00,11310.00,10580.00,11000.00,1755730792340,159613948,21212,D,10670.00,10880.00
S*Isf..Oil.Ref.Co.,20210426,10670.00,10780.00,10670.00,10670.00,1592336684760,149208519,13879,D,10990.00,10670.00
S*Isf..Oil.Ref.Co.,20210425,10700.00,10700.00,10700.00,10990.00,15245370700,1424801,444,D,11030.00,10700.00
S*Isf..Oil.Ref.Co.,20210424,10790.00,10790.00,10790.00,11030.00,32256812900,2989510,783,D,11120.00,10790.00
S*Isf..Oil.Ref.Co.,20210421,11120.00,11200.00,11120.00,11120.00,163868110860,14735179,1787,D,11460.00,11120.00
S*Isf..Oil.Ref.Co.,20210420,11700.00,11770.00,11400.00,11460.00,1473425298750,128558673,15144,D,11630.00,11400.00
S*Isf..Oil.Ref.Co.,20210419,11620.00,11780.00,11620.00,11630.00,1974861694900,169833952,16904,D,11850.00,11720.00
S*Isf..Oil.Ref.Co.,20210418,11850.00,11850.00,11850.00,11850.00,241946190000,20417400,772,D,12090.00,11850.00
S*Isf..Oil.Ref.Co.,20210417,12090.00,12090.00,12090.00,12090.00,265221509670,21937263,1401,D,12330.00,12090.00
S*Isf..Oil.Ref.Co.,20210414,12520.00,12580.00,12270.00,12330.00,1208955692660,98055921,12179,D,12520.00,12270.00
S*Isf..Oil.Ref.Co.,20210413,12340.00,12720.00,12190.00,12520.00,2116536244170,169069597,23280,D,12000.00,12500.00
S*Isf..Oil.Ref.Co.,20210412,11970.00,12190.00,11960.00,12000.00,1587672529560,132339634,14792,D,12200.00,12100.00
S*Isf..Oil.Ref.Co.,20210411,12200.00,12200.00,12200.00,12200.00,227197513400,18622747,905,D,12440.00,12200.00
S*Isf..Oil.Ref.Co.,20210410,12440.00,12440.00,12440.00,12440.00,221063800880,17770402,747,D,12690.00,12440.00
S*Isf..Oil.Ref.Co.,20210407,12690.00,12800.00,12690.00,12690.00,401262241340,31617836,2196,D,12940.00,12690.00
S*Isf..Oil.Ref.Co.,20210406,13230.00,13400.00,12800.00,12940.00,1654973518530,127920241,16774,D,13060.00,12800.00
S*Isf..Oil.Ref.Co.,20210405,13020.00,13260.00,13020.00,13060.00,3056439509420,234118484,24397,D,13280.00,13220.00
S*Isf..Oil.Ref.Co.,20210404,13280.00,13280.00,13280.00,13280.00,272038515840,20484828,978,D,13550.00,13280.00
S*Isf..Oil.Ref.Co.,20210403,13550.00,13600.00,13550.00,13550.00,314037335520,23175962,2086,D,13820.00,13550.00
S*Isf..Oil.Ref.Co.,20210331,14000.00,14100.00,13770.00,13820.00,689403112070,49892314,7283,D,14050.00,13770.00
S*Isf..Oil.Ref.Co.,20210330,13860.00,14570.00,13860.00,14050.00,2288555785720,162908660,25980,D,14140.00,13900.00
S*Isf..Oil.Ref.Co.,20210328,14350.00,14370.00,14110.00,14140.00,720535521560,50952492,7158,D,14390.00,14110.00
S*Isf..Oil.Ref.Co.,20210327,14380.00,14620.00,14380.00,14390.00,3313272646450,230198963,26052,D,14670.00,14380.00
S*Isf..Oil.Ref.Co.,20210317,14850.00,14990.00,14330.00,14670.00,2557871739290,174304778,28447,D,14180.00,14590.00
S*Isf..Oil.Ref.Co.,20210316,13600.00,14270.00,13500.00,14180.00,2574682927010,181565278,19464,D,13470.00,14270.00
S*Isf..Oil.Ref.Co.,20210315,13100.00,13890.00,12930.00,13470.00,2071678172170,153750278,25022,D,13190.00,13440.00
S*Isf..Oil.Ref.Co.,20210314,13550.00,13740.00,13010.00,13190.00,3107381169490,235524745,33146,D,13270.00,13020.00
S*Isf..Oil.Ref.Co.,20210313,12720.00,13430.00,12560.00,13270.00,3523586497060,265597881,31363,D,12670.00,13430.00
S*Isf..Oil.Ref.Co.,20210310,12580.00,13080.00,12580.00,12670.00,3010508271240,237638739,26731,D,12830.00,12590.00
S*Isf..Oil.Ref.Co.,20210309,12500.00,12900.00,12400.00,12830.00,4870439950910,379517014,43677,D,12170.00,12610.00
S*Isf..Oil.Ref.Co.,20210308,11830.00,12220.00,11680.00,12170.00,2915841920670,239682227,24241,D,11530.00,12220.00
S*Isf..Oil.Ref.Co.,20210307,11230.00,11760.00,11210.00,11530.00,2048987473630,177686363,26491,D,11240.00,11700.00
S*Isf..Oil.Ref.Co.,20210306,11230.00,11420.00,11230.00,11240.00,1423373165320,126674764,12828,D,11450.00,11280.00
S*Isf..Oil.Ref.Co.,20210303,11530.00,11700.00,11430.00,11450.00,430547137200,37601595,3759,D,11660.00,11430.00
S*Isf..Oil.Ref.Co.,20210302,11580.00,12100.00,11370.00,11660.00,1746633491480,149756829,23800,D,11550.00,11530.00
S*Isf..Oil.Ref.Co.,20210301,11500.00,11840.00,11500.00,11550.00,3187414857030,276005136,36570,D,11730.00,11600.00
S*Isf..Oil.Ref.Co.,20210228,11690.00,11690.00,11690.00,11730.00,97534685010,8343429,620,D,11920.00,11690.00
S*Isf..Oil.Ref.Co.,20210227,11920.00,11920.00,11920.00,11920.00,814660325040,68343987,3180,D,12160.00,11920.00
S*Isf..Oil.Ref.Co.,20210224,12200.00,12450.00,11960.00,12160.00,939091080620,77234478,7784,D,12720.00,11960.00
S*Isf..Oil.Ref.Co.,20210222,12500.00,12500.00,12500.00,12720.00,15701412500,1256113,354,D,12750.00,12500.00
S*Isf..Oil.Ref.Co.,20210221,12590.00,12590.00,12590.00,12750.00,42985734840,3414276,630,D,12840.00,12590.00
S*Isf..Oil.Ref.Co.,20210220,13000.00,13290.00,12790.00,12840.00,1103853421360,85979743,7653,D,13050.00,12790.00
S*Isf..Oil.Ref.Co.,20210217,13400.00,13650.00,12810.00,13050.00,3440731689110,263643848,33144,D,13070.00,12950.00
S*Isf..Oil.Ref.Co.,20210216,13200.00,13330.00,13040.00,13070.00,814778376630,62361123,5335,D,13300.00,13040.00
S*Isf..Oil.Ref.Co.,20210215,13210.00,13740.00,13140.00,13300.00,4103619809740,308597740,31982,D,13400.00,13150.00
S*Isf..Oil.Ref.Co.,20210214,13450.00,13700.00,12950.00,13400.00,5565709088090,415414104,47584,D,12930.00,13680.00
S*Isf..Oil.Ref.Co.,20210213,12930.00,12930.00,12930.00,12930.00,1057152132270,81759639,5222,D,12200.00,12930.00
S*Isf..Oil.Ref.Co.,20210209,11750.00,12270.00,11720.00,12200.00,2853579928680,233883970,23168,D,11690.00,12270.00
S*Isf..Oil.Ref.Co.,20210208,11720.00,11720.00,11230.00,11690.00,4701210320830,402136350,32278,D,11170.00,11720.00
S*Isf..Oil.Ref.Co.,20210207,10950.00,11250.00,10910.00,11170.00,774898976110,69390551,6641,D,10720.00,11250.00
S*Isf..Oil.Ref.Co.,20210206,10910.00,11190.00,10700.00,10720.00,1990241681900,185684473,13540,D,11260.00,10700.00
S*Isf..Oil.Ref.Co.,20210203,11590.00,11890.00,11110.00,11260.00,1734067316540,153963772,14207,D,11690.00,11110.00
S*Isf..Oil.Ref.Co.,20210202,11930.00,12180.00,11640.00,11690.00,4272248156830,365391381,30543,D,12250.00,11640.00
S*Isf..Oil.Ref.Co.,20210201,12170.00,12980.00,11900.00,12250.00,4996012921310,407983897,43055,D,12520.00,11910.00
S*Isf..Oil.Ref.Co.,20210131,12650.00,12650.00,12050.00,12520.00,8886342297530,709835502,69846,D,12050.00,12170.00
S*Isf..Oil.Ref.Co.,20210130,12050.00,12060.00,11860.00,12050.00,1440320099120,119532853,7002,D,11490.00,12060.00
