<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Spahan.Naft,20210710,17600.00,17600.00,17280.00,17400.00,168086150650,9662490,2468,D,17470.00,17350.00
Spahan.Naft,20210707,17600.00,17750.00,17100.00,17470.00,73717867840,4218643,1176,D,17600.00,17400.00
Spahan.Naft,20210706,17970.00,17970.00,17300.00,17600.00,87340933500,4963615,1459,D,17510.00,17360.00
Spahan.Naft,20210705,17500.00,17690.00,17250.00,17510.00,86462331860,4938968,979,D,17300.00,17590.00
Spahan.Naft,20210704,17300.00,17420.00,16910.00,17300.00,67376623370,3894876,1160,D,17300.00,17350.00
Spahan.Naft,20210703,17660.00,17940.00,17000.00,17300.00,136604813510,7896274,1550,D,17390.00,17210.00
Spahan.Naft,20210630,17700.00,17730.00,17000.00,17390.00,118880088340,6834325,2035,D,17490.00,17480.00
Spahan.Naft,20210629,17120.00,17520.00,17120.00,17490.00,138151548160,7897817,1052,D,16690.00,17520.00
Spahan.Naft,20210628,16290.00,16910.00,15620.00,16690.00,178247003690,10680526,1943,D,16110.00,16910.00
Spahan.Naft,20210627,16190.00,16290.00,15670.00,16110.00,65167884400,4045380,816,D,16140.00,16010.00
Spahan.Naft,20210626,16400.00,16400.00,15800.00,16140.00,64526660280,3998815,1054,D,16080.00,16060.00
Spahan.Naft,20210623,15910.00,16500.00,15610.00,16080.00,81988641850,5100054,1319,D,16280.00,16260.00
Spahan.Naft,20210622,16550.00,16800.00,16000.00,16280.00,50076845960,3078195,1107,D,16310.00,16150.00
Spahan.Naft,20210621,15600.00,16580.00,15540.00,16310.00,101615419380,6231958,1092,D,15800.00,16440.00
Spahan.Naft,20210620,16000.00,16220.00,15460.00,15800.00,84705416670,5359683,966,D,15770.00,15810.00
Spahan.Naft,20210619,15380.00,15910.00,15170.00,15770.00,93477296960,5926806,988,D,15160.00,15910.00
Spahan.Naft,20210616,14700.00,15370.00,14700.00,15160.00,42782332580,2811915,720,D,15020.00,15240.00
Spahan.Naft,20210615,15010.00,15190.00,14900.00,15020.00,73618496330,4902944,982,D,14730.00,15010.00
Spahan.Naft,20210614,14500.00,14940.00,14330.00,14730.00,77270742940,5245083,859,D,14230.00,14940.00
Spahan.Naft,20210613,14100.00,14490.00,14000.00,14230.00,32108059250,2248261,504,D,14150.00,14390.00
Spahan.Naft,20210612,14100.00,14250.00,13940.00,14150.00,27187056290,1934861,530,D,14260.00,14070.00
Spahan.Naft,20210609,14000.00,14370.00,13950.00,14260.00,20405174280,1444854,505,D,14340.00,14160.00
Spahan.Naft,20210608,14580.00,14580.00,14010.00,14340.00,17490088610,1224355,432,D,14360.00,14100.00
Spahan.Naft,20210607,14640.00,14640.00,14300.00,14360.00,26814891160,1859077,643,D,14300.00,14370.00
Spahan.Naft,20210602,14270.00,14540.00,14010.00,14300.00,45377226010,3172322,674,D,14270.00,14330.00
Spahan.Naft,20210601,13710.00,14330.00,13710.00,14270.00,16651492920,1177522,366,D,14330.00,14050.00
Spahan.Naft,20210531,14420.00,14840.00,14070.00,14330.00,52868715990,3693184,905,D,14810.00,14190.00
Spahan.Naft,20210530,15100.00,15300.00,14420.00,14810.00,57856539910,3905601,1005,D,14640.00,14480.00
Spahan.Naft,20210529,14430.00,14870.00,14180.00,14640.00,41301752770,2789477,704,D,14170.00,14870.00
Spahan.Naft,20210526,14250.00,14440.00,13780.00,14170.00,18003316370,1267143,599,D,14150.00,14430.00
Spahan.Naft,20210525,14000.00,14590.00,14000.00,14150.00,21728614130,1522454,579,D,14070.00,14200.00
Spahan.Naft,20210524,13540.00,14300.00,13540.00,14070.00,25581285850,1832884,594,D,14180.00,13980.00
Spahan.Naft,20210523,14110.00,14390.00,14110.00,14180.00,50018683440,3540043,500,D,14850.00,14110.00
Spahan.Naft,20210522,14700.00,14700.00,14450.00,14850.00,26471827900,1829728,351,D,15210.00,14450.00
Spahan.Naft,20210519,15020.00,15440.00,14710.00,15210.00,32621356820,2157071,458,D,15320.00,14840.00
Spahan.Naft,20210518,15000.00,15700.00,15000.00,15320.00,22374148770,1464039,507,D,15350.00,15200.00
Spahan.Naft,20210517,15200.00,15600.00,15100.00,15350.00,47163098520,3080443,639,D,15530.00,15220.00
Spahan.Naft,20210516,15600.00,15670.00,15150.00,15530.00,32481081650,2107742,659,D,15680.00,15410.00
Spahan.Naft,20210515,14850.00,16200.00,14850.00,15680.00,82877969660,5285287,1314,D,15530.00,15390.00
Spahan.Naft,20210512,15640.00,15640.00,15110.00,15530.00,141515358730,9111057,1971,D,14760.00,15510.00
