<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
B.A.Oil.Refinie,20210602,20250.00,21990.00,20250.00,21360.00,1210197020260,56669975,10928,D,21030.00,21350.00
B.A.Oil.Refinie,20210601,21180.00,21880.00,20670.00,21030.00,788493427960,37493900,6763,D,21750.00,20710.00
B.A.Oil.Refinie,20210531,21770.00,22690.00,20980.00,21750.00,886937180350,40771251,8342,D,22020.00,21180.00
B.A.Oil.Refinie,20210530,22110.00,22110.00,21320.00,22020.00,1397685509820,63483785,8265,D,21060.00,21640.00
B.A.Oil.Refinie,20210529,20450.00,21080.00,20370.00,21060.00,322221336740,15301457,1597,D,20080.00,21080.00
B.A.Oil.Refinie,20210526,19600.00,20440.00,19600.00,20080.00,243555584130,12129466,5243,D,19850.00,20360.00
B.A.Oil.Refinie,20210525,19140.00,19970.00,19140.00,19850.00,454005525390,22871852,5862,D,19020.00,19970.00
B.A.Oil.Refinie,20210524,18290.00,19700.00,18130.00,19020.00,609918539710,32071727,6890,D,19040.00,19230.00
B.A.Oil.Refinie,20210523,19020.00,19550.00,19020.00,19040.00,514976753630,27052934,3291,D,20020.00,19020.00
B.A.Oil.Refinie,20210522,19890.00,19890.00,19890.00,20020.00,99375392610,4996249,542,D,20930.00,19890.00
B.A.Oil.Refinie,20210519,21600.00,21940.00,20520.00,20930.00,349602703110,16700717,3825,D,21600.00,20520.00
B.A.Oil.Refinie,20210518,20880.00,22350.00,20610.00,21600.00,462380318330,21410684,5135,D,21590.00,21600.00
B.A.Oil.Refinie,20210517,21500.00,22290.00,21270.00,21590.00,477284183210,22102668,4395,D,22380.00,21270.00
B.A.Oil.Refinie,20210516,22650.00,23300.00,21700.00,22380.00,1032716745180,46139879,11294,D,22310.00,21850.00
B.A.Oil.Refinie,20210515,21490.00,22440.00,21050.00,22310.00,1303988507350,58454179,7922,D,21380.00,22440.00
B.A.Oil.Refinie,20210512,21390.00,21440.00,20750.00,21380.00,1848847554800,86460065,11417,D,20230.00,21440.00
B.A.Oil.Refinie,20210511,20240.00,20280.00,19770.00,20230.00,437959780640,21648215,3312,D,19140.00,20280.00
B.A.Oil.Refinie,20210510,18610.00,20220.00,18610.00,19140.00,641888241920,33529450,8062,D,19180.00,19740.00
B.A.Oil.Refinie,20210509,19180.00,19180.00,19180.00,19180.00,120798862240,6298168,401,D,19770.00,19180.00
B.A.Oil.Refinie,20210508,19800.00,20500.00,19700.00,19770.00,184031080310,9308002,2329,D,20300.00,19700.00
B.A.Oil.Refinie,20210505,20280.00,20710.00,20280.00,20300.00,458805873660,22603033,4404,D,20900.00,20280.00
B.A.Oil.Refinie,20210503,20340.00,20340.00,20340.00,20900.00,10093318200,496230,230,D,20960.00,20340.00
B.A.Oil.Refinie,20210502,20710.00,20710.00,20710.00,20960.00,69145036170,3338727,506,D,21350.00,20710.00
B.A.Oil.Refinie,20210501,21410.00,22150.00,21160.00,21350.00,284950696910,13343570,2923,D,21810.00,21160.00
B.A.Oil.Refinie,20210428,22000.00,22640.00,21530.00,21810.00,419242310960,19225180,5382,D,22190.00,21750.00
B.A.Oil.Refinie,20210427,21800.00,22790.00,21500.00,22190.00,696388457610,31376741,9674,D,21950.00,21860.00
B.A.Oil.Refinie,20210426,21950.00,21950.00,21950.00,21950.00,135815032350,6187473,744,D,22620.00,21950.00
B.A.Oil.Refinie,20210425,21980.00,21980.00,21980.00,22620.00,5334546000,242700,141,D,22650.00,21980.00
B.A.Oil.Refinie,20210424,22060.00,22060.00,22060.00,22650.00,15807820980,716583,215,D,22740.00,22060.00
B.A.Oil.Refinie,20210421,22200.00,22200.00,22200.00,22740.00,22190698200,999581,306,D,22880.00,22200.00
B.A.Oil.Refinie,20210420,22850.00,23300.00,22840.00,22880.00,493497516420,21568850,5709,D,23300.00,22840.00
B.A.Oil.Refinie,20210419,23300.00,23300.00,23300.00,23300.00,233645037200,10027684,1618,D,23770.00,23300.00
B.A.Oil.Refinie,20210418,23510.00,23510.00,23510.00,23770.00,51129736080,2174808,195,D,23980.00,23510.00
B.A.Oil.Refinie,20210417,23780.00,23800.00,23780.00,23980.00,68183383300,2867253,715,D,24260.00,23780.00
B.A.Oil.Refinie,20210414,24580.00,24700.00,24230.00,24260.00,364282753430,15013604,3067,D,24720.00,24230.00
B.A.Oil.Refinie,20210413,24400.00,25500.00,24220.00,24720.00,776691955510,31413665,10985,D,24500.00,24340.00
B.A.Oil.Refinie,20210412,24500.00,24500.00,24500.00,24500.00,142451967000,5814366,967,D,25000.00,24500.00
B.A.Oil.Refinie,20210411,24710.00,24710.00,24710.00,25000.00,49470433110,2002041,235,D,25210.00,24710.00
B.A.Oil.Refinie,20210410,24810.00,24810.00,24810.00,25210.00,23742202410,956961,212,D,25310.00,24810.00
B.A.Oil.Refinie,20210407,25030.00,25230.00,25030.00,25310.00,50770613990,2028291,643,D,25540.00,25030.00
B.A.Oil.Refinie,20210406,26100.00,26590.00,25290.00,25540.00,376878942670,14757437,5796,D,25800.00,25290.00
B.A.Oil.Refinie,20210405,25690.00,26500.00,25690.00,25800.00,956082572730,37054593,14153,D,26210.00,26300.00
B.A.Oil.Refinie,20210404,26090.00,26090.00,26090.00,26210.00,90137193040,3454856,331,D,26620.00,26090.00
B.A.Oil.Refinie,20210403,26610.00,26900.00,26610.00,26620.00,116080430100,4362007,859,D,27150.00,26610.00
B.A.Oil.Refinie,20210331,27160.00,27980.00,27110.00,27150.00,315820950420,11634251,3588,D,27660.00,27110.00
B.A.Oil.Refinie,20210330,27440.00,28490.00,27440.00,27660.00,629069815490,22743646,7927,D,28000.00,27440.00
B.A.Oil.Refinie,20210328,28150.00,28550.00,27980.00,28000.00,284369435480,10157797,2541,D,28550.00,27980.00
B.A.Oil.Refinie,20210327,28520.00,28940.00,28520.00,28550.00,937047980980,32816892,7554,D,29100.00,28520.00
B.A.Oil.Refinie,20210317,29000.00,29870.00,28430.00,29100.00,984273578920,33825005,11172,D,28550.00,28980.00
B.A.Oil.Refinie,20210316,27410.00,29040.00,27000.00,28550.00,1658346390290,58087252,12371,D,27410.00,29030.00
B.A.Oil.Refinie,20210315,27010.00,28200.00,27010.00,27410.00,1078472576880,39352307,11120,D,27560.00,27400.00
B.A.Oil.Refinie,20210314,27990.00,28570.00,27440.00,27560.00,1106990558540,40173664,10175,D,27990.00,27440.00
B.A.Oil.Refinie,20210313,27270.00,28700.00,26900.00,27990.00,1325688853500,47363207,13096,D,27300.00,28060.00
B.A.Oil.Refinie,20210310,27270.00,27700.00,27270.00,27300.00,1514008058380,55455595,9489,D,27820.00,27270.00
B.A.Oil.Refinie,20210309,27400.00,28360.00,26880.00,27820.00,2528788709020,90888830,22503,D,26760.00,27160.00
B.A.Oil.Refinie,20210308,26200.00,26870.00,25850.00,26760.00,2161245733940,80755785,13523,D,25350.00,26870.00
B.A.Oil.Refinie,20210307,24320.00,25690.00,24320.00,25350.00,1633817998930,64448049,13226,D,24240.00,25690.00
B.A.Oil.Refinie,20210306,24200.00,24980.00,24090.00,24240.00,901539032110,37187106,6508,D,24580.00,24450.00
B.A.Oil.Refinie,20210303,24950.00,25160.00,24420.00,24580.00,344767940840,14024022,2713,D,24910.00,24420.00
B.A.Oil.Refinie,20210302,24200.00,25160.00,24020.00,24910.00,1379691316020,55380484,11997,D,23740.00,24680.00
B.A.Oil.Refinie,20210301,23240.00,24500.00,23240.00,23740.00,1257741971300,52983982,12298,D,23710.00,24250.00
B.A.Oil.Refinie,20210228,23460.00,23460.00,23460.00,23710.00,52979389560,2258286,161,D,23930.00,23460.00
B.A.Oil.Refinie,20210227,23900.00,24620.00,23900.00,23930.00,852084702790,35610200,4821,D,24380.00,23900.00
B.A.Oil.Refinie,20210224,25000.00,25410.00,23960.00,24380.00,722711719290,29639257,8949,D,24440.00,23960.00
B.A.Oil.Refinie,20210223,24030.00,25350.00,24030.00,24440.00,2277501298810,93202086,19559,D,24520.00,24970.00
B.A.Oil.Refinie,20210222,24520.00,24520.00,24520.00,24520.00,126201595680,5146884,413,D,25020.00,24520.00
B.A.Oil.Refinie,20210221,25020.00,25020.00,25020.00,25020.00,174001389840,6954492,937,D,25530.00,25020.00
B.A.Oil.Refinie,20210220,26020.00,26400.00,25450.00,25530.00,1157163982770,45333209,6499,D,25960.00,25450.00
B.A.Oil.Refinie,20210217,25890.00,26750.00,25260.00,25960.00,1870280551350,72057894,16831,D,25250.00,25970.00
B.A.Oil.Refinie,20210216,26170.00,26400.00,25100.00,25250.00,2608291860980,103307563,18389,D,25610.00,25110.00
B.A.Oil.Refinie,20210215,24820.00,25910.00,24020.00,25610.00,3621611031050,141431881,27022,D,24450.00,25910.00
B.A.Oil.Refinie,20210214,24480.00,24480.00,23800.00,24450.00,3653241731840,149413388,18526,D,23100.00,24480.00
B.A.Oil.Refinie,20210213,23100.00,23100.00,22930.00,23100.00,937956635520,40608743,5591,D,21800.00,23100.00
B.A.Oil.Refinie,20210209,21450.00,21980.00,20500.00,21800.00,978637260050,44887711,8742,D,20940.00,21980.00
B.A.Oil.Refinie,20210208,21170.00,21170.00,20000.00,20940.00,829688887980,39624067,10389,D,20170.00,21080.00
B.A.Oil.Refinie,20210207,19410.00,20250.00,19410.00,20170.00,300266820510,14886951,3394,D,19290.00,20250.00
B.A.Oil.Refinie,20210206,19310.00,19500.00,19290.00,19290.00,591996226780,30687187,4814,D,20300.00,19290.00
B.A.Oil.Refinie,20210203,20600.00,21510.00,20160.00,20300.00,452574205060,22290085,3965,D,21220.00,20160.00
B.A.Oil.Refinie,20210202,21300.00,21800.00,21190.00,21220.00,992420527140,46768232,8086,D,22300.00,21190.00
B.A.Oil.Refinie,20210201,22160.00,23210.00,22040.00,22300.00,1143017111610,51263138,8285,D,23190.00,22040.00
B.A.Oil.Refinie,20210131,24650.00,24670.00,22420.00,23190.00,2107927426130,90906378,20942,D,23600.00,22440.00
B.A.Oil.Refinie,20210130,23000.00,23630.00,22700.00,23600.00,957213116610,40555616,6846,D,22510.00,23630.00
B.A.Oil.Refinie,20210127,22000.00,23240.00,21270.00,22510.00,1955869732810,86880461,18829,D,22380.00,22980.00
B.A.Oil.Refinie,20210126,23400.00,23680.00,21450.00,22380.00,2541637051440,113555743,23794,D,22570.00,21450.00
B.A.Oil.Refinie,20210125,21700.00,22840.00,20820.00,22570.00,1544172803840,68413972,10271,D,21760.00,22840.00
B.A.Oil.Refinie,20210124,21860.00,21860.00,20840.00,21760.00,2866932307430,131749501,20391,D,20820.00,21860.00
B.A.Oil.Refinie,20210123,20820.00,20820.00,20820.00,20820.00,160241109180,7696499,1006,D,19830.00,20820.00
B.A.Oil.Refinie,20210120,19500.00,19860.00,19180.00,19830.00,326820543290,16476983,1982,D,18920.00,19860.00
B.A.Oil.Refinie,20210119,17360.00,19180.00,17360.00,18920.00,984683486590,52040918,8591,D,18270.00,19180.00
B.A.Oil.Refinie,20210118,18280.00,18800.00,18260.00,18270.00,362608296500,19845413,3059,D,19220.00,18260.00
B.A.Oil.Refinie,20210116,19440.00,19990.00,19190.00,19220.00,723809698300,37668240,6091,D,20200.00,19190.00
B.A.Oil.Refinie,20210113,20090.00,21340.00,20080.00,20200.00,1097726129270,54342017,12364,D,21130.00,20090.00
B.A.Oil.Refinie,20210112,21270.00,21720.00,21120.00,21130.00,648593369160,30694728,5550,D,22230.00,21120.00
B.A.Oil.Refinie,20210111,23000.00,23600.00,21690.00,22230.00,917790917000,41287732,12441,D,22830.00,21720.00
B.A.Oil.Refinie,20210110,22110.00,22960.00,22010.00,22830.00,1001521045590,43859683,12383,D,21870.00,22960.00
B.A.Oil.Refinie,20210109,21830.00,22910.00,21770.00,21870.00,1239638925300,56690051,13806,D,22910.00,21800.00
B.A.Oil.Refinie,20210106,23100.00,23470.00,22880.00,22910.00,730161115190,31865734,6919,D,24080.00,22880.00
B.A.Oil.Refinie,20210105,25200.00,25200.00,23910.00,24080.00,750965053400,31183344,11390,D,25160.00,23910.00
B.A.Oil.Refinie,20210104,24790.00,25560.00,24150.00,25160.00,1125186043340,44718742,14526,D,24350.00,25300.00
B.A.Oil.Refinie,20210103,23920.00,25440.00,23700.00,24350.00,1182515190270,48554424,16143,D,24940.00,24210.00
B.A.Oil.Refinie,20210102,25110.00,25670.00,24930.00,24940.00,907704468750,36390620,9591,D,26240.00,24930.00
B.A.Oil.Refinie,20201230,26220.00,27330.00,25980.00,26240.00,1603308701340,61095359,15278,D,27340.00,25980.00
B.A.Oil.Refinie,20201229,28700.00,28950.00,27110.00,27340.00,1507325016920,55132702,15244,D,28530.00,27110.00
B.A.Oil.Refinie,20201228,27700.00,28580.00,27600.00,28530.00,2394242996060,83910400,17488,D,27220.00,28580.00
B.A.Oil.Refinie,20201227,26800.00,28590.00,26500.00,27220.00,2135253751970,78446064,24251,D,27890.00,27900.00
B.A.Oil.Refinie,20201226,28500.00,29240.00,27800.00,27890.00,1262251786050,45254168,13561,D,29260.00,27800.00
B.A.Oil.Refinie,20201223,30000.00,30270.00,28500.00,29260.00,1674559028920,57231607,19333,D,29190.00,29000.00
B.A.Oil.Refinie,20201222,28000.00,29760.00,27600.00,29190.00,2613146072630,89536260,25321,D,28350.00,29760.00
B.A.Oil.Refinie,20201221,27800.00,29500.00,27150.00,28350.00,1580408898270,55744578,20023,D,28240.00,27980.00
B.A.Oil.Refinie,20201220,29300.00,29950.00,27770.00,28240.00,1527745125880,54095261,16962,D,29230.00,27770.00
B.A.Oil.Refinie,20201219,29000.00,30360.00,28150.00,29230.00,2558490611320,87535795,23745,D,29630.00,29430.00
B.A.Oil.Refinie,20201216,29580.00,30400.00,29580.00,29630.00,3451963318370,116492949,28151,D,31130.00,29580.00
