<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Palayesh.Tehran,20210811,9420.00,9770.00,9420.00,9750.00,2441126154410,250498906,18114,D,9310.00,9770.00
Palayesh.Tehran,20210810,9300.00,9430.00,9230.00,9310.00,855945569640,91920037,9761,D,9250.00,9300.00
Palayesh.Tehran,20210809,9250.00,9360.00,9160.00,9250.00,635179450710,68676391,9497,D,9280.00,9280.00
Palayesh.Tehran,20210808,9100.00,9490.00,9060.00,9280.00,577634866150,62233803,8723,D,9220.00,9220.00
Palayesh.Tehran,20210807,9460.00,9480.00,9100.00,9220.00,595614044460,64622615,10539,D,9380.00,9120.00
Palayesh.Tehran,20210804,9250.00,9600.00,9190.00,9380.00,825218792180,87963607,11057,D,9210.00,9460.00
Palayesh.Tehran,20210803,9210.00,9350.00,9080.00,9210.00,520093099420,56464402,7267,D,9060.00,9240.00
Palayesh.Tehran,20210802,9050.00,9250.00,8940.00,9060.00,440437054330,48601919,7779,D,9100.00,9170.00
Palayesh.Tehran,20210801,9330.00,9400.00,8960.00,9100.00,618976876600,68005965,10853,D,9330.00,9000.00
Palayesh.Tehran,20210731,9100.00,9610.00,9100.00,9330.00,658202492070,70527108,9943,D,9170.00,9300.00
Palayesh.Tehran,20210728,9120.00,9440.00,8950.00,9170.00,583664370580,63665174,10087,D,9290.00,9060.00
Palayesh.Tehran,20210727,9300.00,9450.00,9180.00,9290.00,329994978220,35533067,4545,D,9920.00,9270.00
Palayesh.Tehran,20210718,10300.00,10300.00,10010.00,10120.00,1052578935710,104044488,13620,D,10450.00,10090.00
Palayesh.Tehran,20210717,10530.00,10540.00,10130.00,10450.00,2080109584160,198983217,20558,D,10040.00,10300.00
Palayesh.Tehran,20210714,9850.00,10300.00,9650.00,10040.00,956685133500,95253132,11782,D,9850.00,10100.00
Palayesh.Tehran,20210713,9690.00,10090.00,9560.00,9850.00,726804817290,73763945,9988,D,9720.00,9800.00
Palayesh.Tehran,20210712,9490.00,9770.00,9360.00,9720.00,1731242889550,178120820,14397,D,9310.00,9610.00
Palayesh.Tehran,20210711,9070.00,9470.00,9000.00,9310.00,523048291180,56153023,7828,D,9090.00,9450.00
Palayesh.Tehran,20210710,9330.00,9380.00,8930.00,9090.00,509442830050,56033866,8370,D,9390.00,9020.00
Palayesh.Tehran,20210707,9590.00,9700.00,9240.00,9390.00,666714903650,70986187,10878,D,9720.00,9320.00
Palayesh.Tehran,20210706,9700.00,9910.00,9560.00,9720.00,632987350680,65149827,9315,D,9510.00,9600.00
Palayesh.Tehran,20210705,9240.00,9710.00,9240.00,9510.00,880047911880,92497450,10349,D,9260.00,9690.00
Palayesh.Tehran,20210704,9160.00,9510.00,9110.00,9260.00,1002452641960,108293807,11391,D,9580.00,9190.00
Palayesh.Tehran,20210703,9900.00,9990.00,9390.00,9580.00,712736546380,74412890,8610,D,9880.00,9390.00
Palayesh.Tehran,20210630,9600.00,9980.00,9350.00,9880.00,1398228497520,141498156,13227,D,9510.00,9800.00
Palayesh.Tehran,20210629,9420.00,9700.00,9350.00,9510.00,745779511810,78384993,7933,D,9450.00,9500.00
Palayesh.Tehran,20210628,9440.00,9710.00,9180.00,9450.00,845334184150,89410006,10265,D,9490.00,9510.00
Palayesh.Tehran,20210627,9560.00,9760.00,9260.00,9490.00,1147143982870,120906547,13861,D,9580.00,9300.00
Palayesh.Tehran,20210626,9470.00,9640.00,9270.00,9580.00,1939840556340,202397376,14354,D,9190.00,9540.00
Palayesh.Tehran,20210623,8900.00,9330.00,8730.00,9190.00,1582378189240,172177587,12734,D,8890.00,9330.00
Palayesh.Tehran,20210622,8710.00,9070.00,8700.00,8890.00,588979124360,66219541,7790,D,8670.00,8900.00
Palayesh.Tehran,20210621,8540.00,8840.00,8490.00,8670.00,563532610800,65030637,8409,D,8780.00,8590.00
Palayesh.Tehran,20210620,9050.00,9060.00,8550.00,8780.00,793265449240,90327997,9475,D,8680.00,8600.00
Palayesh.Tehran,20210619,8450.00,8780.00,8340.00,8680.00,879958802100,101432015,7470,D,8370.00,8780.00
Palayesh.Tehran,20210616,8100.00,8590.00,8030.00,8370.00,678840402610,81090228,8719,D,8310.00,8340.00
Palayesh.Tehran,20210615,8570.00,8570.00,8050.00,8310.00,512664481660,61660301,8314,D,8330.00,8050.00
Palayesh.Tehran,20210614,8050.00,8460.00,8040.00,8330.00,942066487810,113045145,10108,D,8060.00,8460.00
Palayesh.Tehran,20210613,8010.00,8190.00,7950.00,8060.00,570792917590,70851740,6283,D,8140.00,8080.00
Palayesh.Tehran,20210612,8040.00,8280.00,8000.00,8140.00,453306960800,55674137,6455,D,8050.00,8080.00
Palayesh.Tehran,20210609,7950.00,8200.00,7900.00,8050.00,328278346660,40758385,5258,D,8180.00,8150.00
Palayesh.Tehran,20210608,8280.00,8480.00,7940.00,8180.00,509092886440,62210702,8773,D,8260.00,8040.00
Palayesh.Tehran,20210607,8230.00,8500.00,8060.00,8260.00,814340588190,98546192,11282,D,8230.00,8300.00
Palayesh.Tehran,20210602,7800.00,8340.00,7740.00,8230.00,942186567190,114478144,8783,D,7950.00,8340.00
Palayesh.Tehran,20210601,7820.00,8200.00,7680.00,7950.00,514551947970,64758633,7508,D,8080.00,7840.00
Palayesh.Tehran,20210531,8000.00,8480.00,7730.00,8080.00,926221082940,114639341,11130,D,8110.00,7850.00
Palayesh.Tehran,20210530,8140.00,8140.00,7910.00,8110.00,1213125572230,149565894,9765,D,7760.00,8140.00
Palayesh.Tehran,20210529,7560.00,7790.00,7560.00,7760.00,281498786280,36255127,2161,D,7420.00,7790.00
Palayesh.Tehran,20210526,7310.00,7590.00,7270.00,7420.00,415503662710,55962592,8121,D,7410.00,7500.00
Palayesh.Tehran,20210525,7300.00,7490.00,7210.00,7410.00,950079926130,128281427,9968,D,7140.00,7390.00
Palayesh.Tehran,20210524,6740.00,7230.00,6650.00,7140.00,1156790463400,162034161,11866,D,6890.00,7230.00
Palayesh.Tehran,20210523,6870.00,7060.00,6870.00,6890.00,531046561950,77081218,6268,D,7230.00,6870.00
Palayesh.Tehran,20210522,7360.00,7480.00,7220.00,7230.00,205860670510,28462899,2566,D,7590.00,7220.00
Palayesh.Tehran,20210519,7890.00,7950.00,7480.00,7590.00,388068635440,51151336,7138,D,7870.00,7480.00
Palayesh.Tehran,20210518,7700.00,8100.00,7540.00,7870.00,395923978220,50292485,6988,D,7790.00,7870.00
Palayesh.Tehran,20210517,7980.00,8050.00,7710.00,7790.00,396439633680,50914608,6258,D,8110.00,7710.00
Palayesh.Tehran,20210516,8200.00,8410.00,7950.00,8110.00,422714168880,52153482,7671,D,8240.00,7970.00
Palayesh.Tehran,20210515,7800.00,8400.00,7800.00,8240.00,665649574790,80815942,10027,D,8000.00,8190.00
Palayesh.Tehran,20210512,8100.00,8390.00,7760.00,8000.00,1010630976830,126343666,13448,D,8000.00,7880.00
Palayesh.Tehran,20210511,7810.00,8040.00,7740.00,8000.00,578494953130,72275830,5399,D,7590.00,8040.00
Palayesh.Tehran,20210510,7440.00,8000.00,7440.00,7590.00,713492492990,93952787,11030,D,7670.00,7820.00
Palayesh.Tehran,20210509,7670.00,7670.00,7670.00,7670.00,163142134870,21270161,1468,D,7900.00,7670.00
Palayesh.Tehran,20210508,8000.00,8150.00,7870.00,7900.00,332024321900,42017824,4670,D,8110.00,7870.00
Palayesh.Tehran,20210505,8110.00,8250.00,8110.00,8110.00,596885336380,73554492,8257,D,8360.00,8110.00
Palayesh.Tehran,20210503,8140.00,8140.00,8140.00,8360.00,14939000120,1835258,482,D,8390.00,8140.00
Palayesh.Tehran,20210502,8230.00,8230.00,8230.00,8390.00,43364882290,5269123,564,D,8480.00,8230.00
Palayesh.Tehran,20210501,8540.00,8780.00,8400.00,8480.00,272325090150,32111087,3833,D,8650.00,8400.00
Palayesh.Tehran,20210428,8740.00,8960.00,8540.00,8650.00,651954284690,75339993,10281,D,8800.00,8640.00
Palayesh.Tehran,20210427,8800.00,9020.00,8590.00,8800.00,762078265210,86561206,12043,D,8620.00,8710.00
Palayesh.Tehran,20210426,8620.00,8710.00,8620.00,8620.00,870398308820,100940400,8820,D,8880.00,8640.00
Palayesh.Tehran,20210425,8640.00,8640.00,8640.00,8880.00,9230794560,1068379,300,D,8900.00,8640.00
Palayesh.Tehran,20210424,8720.00,8720.00,8720.00,8900.00,35222565200,4039285,578,D,8980.00,8720.00
Palayesh.Tehran,20210421,8980.00,8980.00,8980.00,8980.00,211037821580,23500871,1428,D,9250.00,8980.00
Palayesh.Tehran,20210420,9320.00,9470.00,9230.00,9250.00,603944426150,65286263,7029,D,9410.00,9230.00
Palayesh.Tehran,20210419,9410.00,9460.00,9410.00,9410.00,708123263930,75246791,5737,D,9600.00,9430.00
Palayesh.Tehran,20210418,9420.00,9420.00,9420.00,9600.00,5516578080,585624,222,D,9610.00,9420.00
Palayesh.Tehran,20210417,9510.00,9600.00,9510.00,9610.00,53146307070,5588155,771,D,9700.00,9510.00
Palayesh.Tehran,20210414,9850.00,9900.00,9680.00,9700.00,611775403440,63081459,6779,D,9870.00,9680.00
Palayesh.Tehran,20210413,9840.00,10150.00,9640.00,9870.00,1184971446770,120037081,14202,D,9610.00,9770.00
Palayesh.Tehran,20210412,9580.00,9850.00,9580.00,9610.00,992767658490,103285931,9221,D,9770.00,9690.00
Palayesh.Tehran,20210411,9700.00,9700.00,9700.00,9770.00,73366435000,7563550,565,D,9890.00,9700.00
Palayesh.Tehran,20210410,9720.00,9720.00,9720.00,9890.00,11283646680,1160869,370,D,9910.00,9720.00
Palayesh.Tehran,20210407,9960.00,10070.00,9900.00,9910.00,368995086850,37233582,2389,D,10100.00,9900.00
Palayesh.Tehran,20210406,10320.00,10400.00,9910.00,10100.00,1169061657270,115756379,14723,D,9910.00,9980.00
Palayesh.Tehran,20210405,9720.00,10290.00,9720.00,9910.00,1825467935580,184118294,19768,D,9910.00,10200.00
Palayesh.Tehran,20210404,9910.00,9910.00,9910.00,9910.00,196722032510,19850861,936,D,10110.00,9910.00
Palayesh.Tehran,20210403,10160.00,10230.00,10110.00,10110.00,379266004690,37495522,2637,D,10310.00,10110.00
Palayesh.Tehran,20210331,10480.00,10650.00,10100.00,10310.00,1057182224590,102558710,15388,D,10280.00,10230.00
Palayesh.Tehran,20210330,9900.00,10590.00,9850.00,10280.00,1842881877510,179232061,21418,D,10050.00,10330.00
Palayesh.Tehran,20210328,10310.00,10350.00,10000.00,10050.00,1384642290910,137809886,14776,D,10200.00,10000.00
Palayesh.Tehran,20210327,10020.00,10310.00,9750.00,10200.00,4310600270920,422791796,33376,D,9730.00,10270.00
Palayesh.Tehran,20210317,9730.00,9730.00,9730.00,9730.00,561083592790,57665323,4401,D,9180.00,9730.00
Palayesh.Tehran,20210316,8800.00,9250.00,8730.00,9180.00,820301870800,89316531,7030,D,8730.00,9250.00
Palayesh.Tehran,20210315,8560.00,8950.00,8530.00,8730.00,687336803850,78755500,11694,D,8700.00,8680.00
Palayesh.Tehran,20210314,8950.00,8960.00,8630.00,8700.00,854566003620,98215548,12854,D,8800.00,8630.00
Palayesh.Tehran,20210313,8570.00,9050.00,8520.00,8800.00,966344140640,109759783,16587,D,8690.00,8820.00
Palayesh.Tehran,20210310,8680.00,8840.00,8680.00,8690.00,552242512140,63551479,6436,D,8850.00,8680.00
Palayesh.Tehran,20210309,8760.00,9050.00,8570.00,8850.00,1219391976610,137766764,20311,D,8540.00,8650.00
Palayesh.Tehran,20210308,8320.00,8620.00,8200.00,8540.00,1240645087080,145199885,18249,D,8140.00,8620.00
Palayesh.Tehran,20210307,7950.00,8350.00,7940.00,8140.00,1192305329980,146446176,22038,D,8100.00,8200.00
Palayesh.Tehran,20210306,8100.00,8100.00,8100.00,8100.00,220095775800,27172318,2524,D,8260.00,8100.00
Palayesh.Tehran,20210303,8260.00,8380.00,8260.00,8260.00,308949155760,37392335,3693,D,8420.00,8260.00
Palayesh.Tehran,20210302,8560.00,8580.00,8390.00,8420.00,592101657270,70322858,7614,D,8560.00,8390.00
Palayesh.Tehran,20210228,8530.00,8530.00,8530.00,8560.00,95937140310,11247027,619,D,8700.00,8530.00
Palayesh.Tehran,20210227,8700.00,8720.00,8700.00,8700.00,409970123630,47122654,3715,D,8870.00,8700.00
Palayesh.Tehran,20210224,9150.00,9250.00,8820.00,8870.00,671382621700,75733900,10987,D,9000.00,8820.00
Palayesh.Tehran,20210223,8900.00,9350.00,8900.00,9000.00,1681414305760,186815208,21529,D,9080.00,9110.00
Palayesh.Tehran,20210222,8920.00,8920.00,8920.00,9080.00,12135026680,1360429,396,D,9100.00,8920.00
Palayesh.Tehran,20210221,9080.00,9080.00,9080.00,9100.00,105385476400,11606330,617,D,9260.00,9080.00
Palayesh.Tehran,20210220,9260.00,9440.00,9250.00,9260.00,173255925570,18718221,1961,D,9430.00,9250.00
