<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghadir.Inv.,20210811,15580.00,16030.00,15320.00,15990.00,1390860876170,86980138,8527,D,15270.00,16030.00
Ghadir.Inv.,20210810,15150.00,15540.00,14950.00,15270.00,735199636060,48148247,5410,D,15130.00,15520.00
Ghadir.Inv.,20210809,14830.00,15280.00,14800.00,15130.00,451227488910,29823773,4434,D,15050.00,15060.00
Ghadir.Inv.,20210808,14680.00,15260.00,14620.00,15050.00,513593132250,34135532,5381,D,14890.00,14910.00
Ghadir.Inv.,20210807,15150.00,15400.00,14600.00,14890.00,656259683140,44070334,7366,D,15030.00,14760.00
Ghadir.Inv.,20210804,14330.00,15040.00,14330.00,15030.00,1882644922650,125292500,9870,D,14330.00,15040.00
Ghadir.Inv.,20210803,14050.00,14490.00,13910.00,14330.00,462644985630,32274534,4733,D,14250.00,14320.00
Ghadir.Inv.,20210802,13890.00,14590.00,13880.00,14250.00,401362659020,28159969,5153,D,14020.00,14120.00
Ghadir.Inv.,20210801,14290.00,14290.00,13810.00,14020.00,850352999210,60671343,6440,D,13660.00,13890.00
Ghadir.Inv.,20210731,13070.00,13720.00,13070.00,13660.00,578374890400,42337817,3545,D,13070.00,13720.00
Ghadir.Inv.,20210728,12700.00,13220.00,12700.00,13070.00,385127209580,29473721,3424,D,12870.00,13150.00
Ghadir.Inv.,20210727,13050.00,13060.00,12750.00,12870.00,253918755690,19723712,2543,D,13060.00,12790.00
Ghadir.Inv.,20210726,13000.00,13220.00,12950.00,13060.00,303223868090,23221571,3297,D,12930.00,13040.00
Ghadir.Inv.,20210719,12780.00,13050.00,12620.00,12930.00,770727059730,59621943,4319,D,12820.00,12900.00
Ghadir.Inv.,20210718,12990.00,12990.00,12710.00,12820.00,447117544150,34887705,3661,D,13090.00,12870.00
Ghadir.Inv.,20210717,13510.00,13520.00,12800.00,13090.00,346098951550,26442434,3802,D,13000.00,12900.00
