<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Mellat.Bank,20210718,4005.00,4005.00,3880.00,3922.00,959314312671,244596004,7906,D,3991.00,3940.00
S*Mellat.Bank,20210717,4042.00,4100.00,3935.00,3991.00,1193245270561,298982630,10120,D,4024.00,3940.00
S*Mellat.Bank,20210714,4050.00,4060.00,3990.00,4024.00,630825140121,156771012,6631,D,4059.00,4040.00
S*Mellat.Bank,20210713,4060.00,4101.00,4001.00,4059.00,730861969708,180069979,6629,D,4089.00,4010.00
S*Mellat.Bank,20210712,4021.00,4170.00,4004.00,4089.00,732113196317,179043864,7292,D,3975.00,4060.00
S*Mellat.Bank,20210711,3970.00,4023.00,3911.00,3975.00,568431396697,142987335,6585,D,3952.00,3987.00
S*Mellat.Bank,20210710,4010.00,4040.00,3900.00,3952.00,423842536256,107242718,5622,D,4013.00,3921.00
S*Mellat.Bank,20210707,4027.00,4079.00,3963.00,4013.00,558617386548,139210596,6366,D,4055.00,4020.00
S*Mellat.Bank,20210706,4050.00,4120.00,4010.00,4055.00,520386912347,128318802,5935,D,4003.00,4044.00
S*Mellat.Bank,20210705,3950.00,4055.00,3950.00,4003.00,468929212407,117149749,5354,D,3982.00,4040.00
S*Mellat.Bank,20210704,3930.00,4059.00,3930.00,3982.00,452283722711,113568012,5757,D,4069.00,3950.00
S*Mellat.Bank,20210703,4250.00,4250.00,4022.00,4069.00,887021722199,217969670,8405,D,4233.00,4022.00
S*Mellat.Bank,20210630,4234.00,4300.00,4209.00,4233.00,411146980021,97139678,4906,D,4242.00,4235.00
S*Mellat.Bank,20210629,4275.00,4340.00,4170.00,4242.00,747906788667,176289431,7052,D,4277.00,4280.00
S*Mellat.Bank,20210628,4140.00,4353.00,4070.00,4277.00,1578209212350,368957925,12740,D,4161.00,4268.00
S*Mellat.Bank,20210627,4080.00,4262.00,4080.00,4161.00,776021128267,186479086,8254,D,4182.00,4185.00
