<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Parsian.Bank,20210719,2905.00,2905.00,2784.00,2834.00,265881779250,93827605,5611,D,2922.00,2830.00
Parsian.Bank,20210718,2964.00,3000.00,2905.00,2922.00,315413971773,107926141,3854,D,3057.00,2905.00
Parsian.Bank,20210717,3151.00,3153.00,2975.00,3057.00,339603689648,111106871,5065,D,3107.00,3008.00
Parsian.Bank,20210714,2958.00,3153.00,2903.00,3107.00,847578075414,272802101,8086,D,3003.00,3139.00
Parsian.Bank,20210713,2927.00,3042.00,2898.00,3003.00,1216641949322,405148609,10642,D,2898.00,2967.00
Parsian.Bank,20210712,2889.00,2900.00,2845.00,2898.00,396374949511,136762306,2154,D,2762.00,2900.00
Parsian.Bank,20210711,2720.00,2838.00,2662.00,2762.00,405765002929,146886221,4892,D,2703.00,2838.00
Parsian.Bank,20210710,2746.00,2779.00,2670.00,2703.00,134578852167,49796326,2387,D,2747.00,2671.00
Parsian.Bank,20210707,2750.00,2800.00,2696.00,2747.00,159991575462,58241822,1730,D,2759.00,2710.00
Parsian.Bank,20210705,2630.00,2763.00,2620.00,2759.00,507132068373,183786243,3206,D,2632.00,2763.00
Parsian.Bank,20210704,2605.00,2686.00,2560.00,2632.00,214358519902,81443391,3164,D,2626.00,2650.00
Parsian.Bank,20210703,2730.00,2737.00,2584.00,2626.00,167542288216,63801854,3274,D,2719.00,2584.00
Parsian.Bank,20210630,2702.00,2775.00,2683.00,2719.00,208732145505,76775019,3221,D,2765.00,2700.00
Parsian.Bank,20210629,2810.00,2849.00,2703.00,2765.00,134206642133,48530910,2712,D,2799.00,2730.00
Parsian.Bank,20210628,2730.00,2852.00,2692.00,2799.00,380715068898,136031621,5074,D,2794.00,2806.00
Parsian.Bank,20210627,2818.00,2860.00,2750.00,2794.00,201336943195,72062461,3218,D,2844.00,2758.00
Parsian.Bank,20210626,2890.00,2928.00,2755.00,2844.00,329987634776,116010377,4432,D,2862.00,2761.00
Parsian.Bank,20210623,2864.00,2864.00,2801.00,2862.00,554321822361,193692441,3981,D,2728.00,2864.00
Parsian.Bank,20210622,2762.00,2762.00,2762.00,2728.00,91241979500,33034750,627,D,2631.00,2762.00
Parsian.Bank,20210621,2600.00,2700.00,2505.00,2631.00,201192286420,76463564,3684,D,2620.00,2615.00
Parsian.Bank,20210620,2740.00,2740.00,2573.00,2620.00,128309370109,48967807,2580,D,2687.00,2600.00
Parsian.Bank,20210619,2715.00,2745.00,2601.00,2687.00,117659637918,43778634,2247,D,2676.00,2687.00
Parsian.Bank,20210616,2655.00,2735.00,2626.00,2676.00,81411067027,30535892,1957,D,2705.00,2650.00
Parsian.Bank,20210615,2749.00,2770.00,2640.00,2705.00,133187274953,49244415,2640,D,2700.00,2649.00
Parsian.Bank,20210614,2678.00,2790.00,2678.00,2700.00,467616548567,173207463,6895,D,2818.00,2729.00
Parsian.Bank,20210613,2730.00,2730.00,2730.00,2818.00,42640639860,15619282,575,D,2873.00,2730.00
Parsian.Bank,20210612,2801.00,2933.00,2787.00,2873.00,222945863883,77589665,2152,D,2933.00,2787.00
Parsian.Bank,20210609,2990.00,3018.00,2830.00,2933.00,438568751646,149515174,4714,D,2978.00,2846.00
Parsian.Bank,20210608,2891.00,3019.00,2891.00,2978.00,338364470721,113628688,4786,D,2876.00,2945.00
Parsian.Bank,20210607,2875.00,2900.00,2871.00,2876.00,131838302317,45847098,2295,D,2860.00,2874.00
Parsian.Bank,20210602,2852.00,2905.00,2850.00,2860.00,120403066356,42083620,1977,D,2837.00,2889.00
Parsian.Bank,20210601,2849.00,2849.00,2817.00,2837.00,132120674688,46573572,1822,D,2823.00,2840.00
Parsian.Bank,20210531,2821.00,2845.00,2819.00,2823.00,202960422322,71885679,2490,D,2810.00,2822.00
Parsian.Bank,20210530,2860.00,2895.00,2800.00,2810.00,347664870290,123743935,3414,D,2796.00,2805.00
Parsian.Bank,20210529,2750.00,2854.00,2740.00,2796.00,211125182673,75516799,3731,D,2729.00,2840.00
Parsian.Bank,20210526,2740.00,2755.00,2726.00,2729.00,119742987505,43876342,2883,D,2719.00,2729.00
Parsian.Bank,20210525,2712.00,2761.00,2711.00,2719.00,168861997856,62094896,2665,D,2703.00,2716.00
Parsian.Bank,20210524,2701.00,2720.00,2693.00,2703.00,269130363578,99562245,2644,D,2697.00,2702.00
Parsian.Bank,20210523,2686.00,2790.00,2658.00,2697.00,366656857370,135935676,3686,D,2683.00,2695.00
Parsian.Bank,20210522,2685.00,2703.00,2580.00,2683.00,670044198294,249734086,4567,D,2670.00,2697.00
Parsian.Bank,20210519,2669.00,2697.00,2660.00,2670.00,464914633550,174120594,3730,D,2661.00,2672.00
Parsian.Bank,20210518,2600.00,2712.00,2589.00,2661.00,352020625689,132307292,5062,D,2583.00,2645.00
Parsian.Bank,20210517,2586.00,2620.00,2550.00,2583.00,430069468455,166505414,4256,D,2565.00,2590.00
Parsian.Bank,20210516,2472.00,2586.00,2472.00,2565.00,387252318296,150980937,4223,D,2463.00,2586.00
Parsian.Bank,20210515,2442.00,2496.00,2441.00,2463.00,170736222694,69318777,1850,D,2442.00,2462.00
Parsian.Bank,20210512,2475.00,2490.00,2433.00,2442.00,314764392651,128909250,2951,D,2433.00,2443.00
Parsian.Bank,20210511,2436.00,2490.00,2415.00,2433.00,236934400930,97370895,3135,D,2416.00,2421.00
Parsian.Bank,20210510,2393.00,2449.00,2393.00,2416.00,160649933992,66484995,2432,D,2388.00,2410.00
Parsian.Bank,20210509,2380.00,2400.00,2330.00,2388.00,384515263718,161039086,3535,D,2388.00,2393.00
Parsian.Bank,20210508,2380.00,2470.00,2354.00,2388.00,252390052384,105674658,3013,D,2426.00,2365.00
Parsian.Bank,20210505,2448.00,2450.00,2401.00,2426.00,135255140019,55744462,1652,D,2392.00,2406.00
Parsian.Bank,20210503,2362.00,2443.00,2358.00,2392.00,191110834897,79897663,2384,D,2430.00,2358.00
Parsian.Bank,20210502,2410.00,2500.00,2410.00,2430.00,287936940556,118482484,3132,D,2480.00,2420.00
Parsian.Bank,20210501,2530.00,2580.00,2430.00,2480.00,171402415830,69246986,1865,D,2500.00,2430.00
Parsian.Bank,20210428,2440.00,2540.00,2410.00,2500.00,241727463550,96862236,3354,D,2440.00,2500.00
Parsian.Bank,20210427,2440.00,2540.00,2380.00,2440.00,215219197440,88304413,3292,D,2420.00,2410.00
Parsian.Bank,20210426,2410.00,2460.00,2410.00,2420.00,338206255580,140042365,3547,D,2480.00,2450.00
Parsian.Bank,20210425,2460.00,2460.00,2460.00,2480.00,75653334480,30753388,512,D,2530.00,2460.00
Parsian.Bank,20210424,2530.00,2560.00,2530.00,2530.00,141352507900,55855639,1502,D,2600.00,2530.00
Parsian.Bank,20210421,2610.00,2640.00,2580.00,2600.00,137190062570,52851770,1687,D,2650.00,2580.00
Parsian.Bank,20210420,2550.00,2670.00,2500.00,2650.00,725735935080,274287372,6725,D,2520.00,2620.00
Parsian.Bank,20210419,2510.00,2570.00,2500.00,2520.00,379461265920,150719772,4412,D,2550.00,2560.00
Parsian.Bank,20210418,2580.00,2610.00,2530.00,2550.00,242539925130,95102977,2606,D,2690.00,2530.00
Parsian.Bank,20210417,2650.00,2720.00,2650.00,2690.00,41908647870,15756807,514,D,2700.00,2650.00
Parsian.Bank,20210414,2720.00,2760.00,2680.00,2700.00,330050155600,122386035,3545,D,2730.00,2680.00
Parsian.Bank,20210413,2720.00,2800.00,2690.00,2730.00,264385933700,96851630,4553,D,2700.00,2740.00
Parsian.Bank,20210412,2700.00,2720.00,2700.00,2700.00,461533102960,170909780,4605,D,2750.00,2710.00
Parsian.Bank,20210411,2710.00,2710.00,2710.00,2750.00,14978850210,5527251,240,D,2760.00,2710.00
Parsian.Bank,20210410,2730.00,2730.00,2730.00,2760.00,39378740310,14424447,481,D,2780.00,2730.00
Parsian.Bank,20210407,2780.00,2800.00,2780.00,2780.00,108268557160,38938138,1488,D,2830.00,2780.00
Parsian.Bank,20210406,2900.00,2930.00,2820.00,2830.00,251541122510,88736733,3108,D,2870.00,2820.00
Parsian.Bank,20210405,2870.00,2880.00,2870.00,2870.00,293931702160,102410419,2663,D,2920.00,2880.00
Parsian.Bank,20210404,2880.00,2880.00,2880.00,2920.00,26695751040,9269358,327,D,2930.00,2880.00
Parsian.Bank,20210403,2940.00,2980.00,2930.00,2930.00,122199425170,41683251,1132,D,2980.00,2930.00
Parsian.Bank,20210331,2990.00,3020.00,2970.00,2980.00,244228591810,82060204,2698,D,3030.00,2970.00
Parsian.Bank,20210330,3030.00,3110.00,3010.00,3030.00,272093160020,89799886,3288,D,3070.00,3030.00
Parsian.Bank,20210328,3110.00,3150.00,3050.00,3070.00,340699149870,111016512,3845,D,3110.00,3060.00
Parsian.Bank,20210327,3190.00,3190.00,3070.00,3110.00,253334076320,81469637,3266,D,3130.00,3120.00
Parsian.Bank,20210317,3140.00,3230.00,3080.00,3130.00,465009037120,148473186,4895,D,3140.00,3150.00
Parsian.Bank,20210316,3060.00,3200.00,3030.00,3140.00,495006641510,157670409,5869,D,3090.00,3130.00
Parsian.Bank,20210315,3080.00,3140.00,3080.00,3090.00,542794351350,175824318,5652,D,3140.00,3080.00
Parsian.Bank,20210314,3180.00,3270.00,3050.00,3140.00,958015396000,305078582,9737,D,3100.00,3060.00
Parsian.Bank,20210313,2910.00,3120.00,2910.00,3100.00,889065341920,287007967,6662,D,2950.00,3120.00
Parsian.Bank,20210310,2950.00,3000.00,2950.00,2950.00,479378827460,162319810,4433,D,3010.00,2950.00
Parsian.Bank,20210309,3040.00,3140.00,2980.00,3010.00,872224674090,289388276,9477,D,3040.00,2980.00
Parsian.Bank,20210308,3030.00,3130.00,3030.00,3040.00,1231586040430,405474897,10345,D,3090.00,3030.00
Parsian.Bank,20210307,3090.00,3090.00,3090.00,3090.00,183125861970,59264033,735,D,3150.00,3090.00
Parsian.Bank,20210306,3150.00,3150.00,3150.00,3150.00,152230456350,48327129,404,D,3210.00,3150.00
Parsian.Bank,20210303,3210.00,3210.00,3210.00,3210.00,109322183550,34056755,402,D,3270.00,3210.00
Parsian.Bank,20210302,3270.00,3270.00,3270.00,3270.00,110307465900,33733170,396,D,3330.00,3270.00
