<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Tejarat.Bank,20210718,2734.00,2751.00,2680.00,2730.00,1203880988947,441040357,10625,D,2729.00,2740.00
S*Tejarat.Bank,20210717,2780.00,2780.00,2706.00,2729.00,609874748969,223460072,8512,D,2698.00,2713.00
S*Tejarat.Bank,20210714,2693.00,2735.00,2656.00,2698.00,622175178055,230572941,7295,D,2692.00,2705.00
S*Tejarat.Bank,20210713,2692.00,2710.00,2634.00,2692.00,927897870906,344671699,8830,D,2692.00,2681.00
S*Tejarat.Bank,20210712,2650.00,2759.00,2641.00,2692.00,510516327747,189675419,9264,D,2631.00,2655.00
S*Tejarat.Bank,20210711,2627.00,2650.00,2575.00,2631.00,1090924660856,414670366,8648,D,2625.00,2635.00
S*Tejarat.Bank,20210710,2668.00,2668.00,2610.00,2625.00,364850460466,138968706,6000,D,2630.00,2621.00
S*Tejarat.Bank,20210707,2615.00,2670.00,2610.00,2630.00,392030261208,149041270,5958,D,2623.00,2641.00
S*Tejarat.Bank,20210706,2611.00,2670.00,2600.00,2623.00,368026197335,140299620,6353,D,2592.00,2622.00
S*Tejarat.Bank,20210705,2610.00,2616.00,2556.00,2592.00,463000654459,178610629,5854,D,2580.00,2601.00
S*Tejarat.Bank,20210704,2537.00,2620.00,2536.00,2580.00,604523422285,234281508,6569,D,2588.00,2577.00
S*Tejarat.Bank,20210703,2630.00,2653.00,2497.00,2588.00,824359326072,318577160,9142,D,2628.00,2523.00
S*Tejarat.Bank,20210630,2640.00,2670.00,2600.00,2628.00,504536237201,192018759,6887,D,2648.00,2612.00
S*Tejarat.Bank,20210629,2670.00,2714.00,2625.00,2648.00,762048291398,287743128,9294,D,2654.00,2627.00
S*Tejarat.Bank,20210628,2538.00,2667.00,2537.00,2654.00,1587945433733,598330393,16101,D,2540.00,2667.00
S*Tejarat.Bank,20210627,2540.00,2590.00,2526.00,2540.00,729970985618,287350861,8930,D,2558.00,2530.00
S*Tejarat.Bank,20210626,2590.00,2620.00,2500.00,2558.00,805426204172,314836131,11988,D,2582.00,2515.00
S*Tejarat.Bank,20210623,2600.00,2650.00,2520.00,2582.00,1094117066200,423691800,12046,D,2579.00,2583.00
S*Tejarat.Bank,20210622,2541.00,2615.00,2540.00,2579.00,678476631258,263086842,9756,D,2491.00,2610.00
S*Tejarat.Bank,20210621,2449.00,2516.00,2440.00,2491.00,1191353779092,478289253,10160,D,2397.00,2513.00
S*Tejarat.Bank,20210620,2408.00,2408.00,2340.00,2397.00,1481339563077,618104376,15467,D,2294.00,2380.00
S*Tejarat.Bank,20210619,2294.00,2294.00,2294.00,2294.00,410845239874,179095571,3058,D,2185.00,2294.00
S*Tejarat.Bank,20210616,2200.00,2249.00,2150.00,2185.00,275333015251,126029099,3921,D,2213.00,2172.00
S*Tejarat.Bank,20210615,2270.00,2278.00,2180.00,2213.00,347104716544,156850665,4896,D,2220.00,2181.00
S*Tejarat.Bank,20210614,2180.00,2264.00,2170.00,2220.00,455222410937,205022028,6380,D,2157.00,2260.00
S*Tejarat.Bank,20210613,2122.00,2198.00,2122.00,2157.00,364376657761,168928426,4260,D,2170.00,2171.00
S*Tejarat.Bank,20210612,2197.00,2219.00,2120.00,2170.00,327018311486,150713368,4282,D,2196.00,2144.00
S*Tejarat.Bank,20210609,2190.00,2249.00,2175.00,2196.00,463841935138,211225485,6285,D,2186.00,2199.00
S*Tejarat.Bank,20210608,2189.00,2189.00,2141.00,2186.00,806567332214,369046202,7418,D,2085.00,2189.00
S*Tejarat.Bank,20210607,2083.00,2119.00,2030.00,2085.00,236084981927,113228221,5291,D,2042.00,2118.00
S*Tejarat.Bank,20210602,1970.00,2082.00,1950.00,2042.00,188403555391,92280229,4277,D,2004.00,2060.00
S*Tejarat.Bank,20210601,2043.00,2043.00,1981.00,2004.00,255465325453,127459700,3603,D,2024.00,2001.00
S*Tejarat.Bank,20210531,1967.00,2069.00,1950.00,2024.00,646672710774,319451673,6660,D,2038.00,2040.00
S*Tejarat.Bank,20210530,2058.00,2068.00,1960.00,2038.00,563255952665,276334416,8986,D,1970.00,1985.00
S*Tejarat.Bank,20210529,1900.00,1983.00,1900.00,1970.00,408263888881,207255047,5825,D,1889.00,1983.00
S*Tejarat.Bank,20210526,1860.00,1930.00,1860.00,1889.00,199959746083,105855105,6204,D,1885.00,1891.00
S*Tejarat.Bank,20210525,1822.00,1970.00,1822.00,1885.00,604955618986,320922755,10228,D,1917.00,1889.00
S*Tejarat.Bank,20210524,1917.00,1950.00,1917.00,1917.00,222892729440,116258319,2894,D,2017.00,1917.00
S*Tejarat.Bank,20210523,2017.00,2017.00,2017.00,2017.00,277920997930,137789290,2418,D,2123.00,2017.00
S*Tejarat.Bank,20210522,2150.00,2180.00,2120.00,2123.00,240037534365,113091722,2154,D,2231.00,2120.00
S*Tejarat.Bank,20210519,2230.00,2275.00,2201.00,2231.00,531990066536,238430429,6020,D,2316.00,2201.00
S*Tejarat.Bank,20210518,2305.00,2377.00,2288.00,2316.00,493344252697,212994575,6645,D,2408.00,2288.00
S*Tejarat.Bank,20210517,2461.00,2508.00,2338.00,2408.00,364006713806,151181248,6051,D,2456.00,2349.00
S*Tejarat.Bank,20210516,2375.00,2500.00,2325.00,2456.00,584981967906,238207141,8288,D,2424.00,2474.00
